Q7Z403 AF-Q7Z403-F1-model_v4.pdb
P27361 AF-P27361-F1-model_v4.pdb
P27448 AF-P27448-F1-model_v4.pdb
P27540 AF-P27540-F1-model_v4.pdb
P27544 AF-P27544-F1-model_v4.pdb
P27701 AF-P27701-F1-model_v4.pdb
P27815 AF-P27815-F1-model_v4.pdb
P27816 AF-P27816-F1-model_v4.pdb
P27930 AF-P27930-F1-model_v4.pdb
P27986 AF-P27986-F1-model_v4.pdb
P27987 AF-P27987-F1-model_v4.pdb
P28062 AF-P28062-F1-model_v4.pdb
P28065 AF-P28065-F1-model_v4.pdb
P28069 AF-P28069-F1-model_v4.pdb
P28074 AF-P28074-F1-model_v4.pdb
P28223 AF-P28223-F1-model_v4.pdb
P28288 AF-P28288-F1-model_v4.pdb
P28329 AF-P28329-F1-model_v4.pdb
P28331 AF-P28331-F1-model_v4.pdb
P28335 AF-P28335-F1-model_v4.pdb
P28347 AF-P28347-F1-model_v4.pdb
P28370 AF-P28370-F1-model_v4.pdb
P28472 AF-P28472-F1-model_v4.pdb
P28476 AF-P28476-F1-model_v4.pdb
P28482 AF-P28482-F1-model_v4.pdb
P28698 AF-P28698-F1-model_v4.pdb
P28715 AF-P28715-F1-model_v4.pdb
P28749 AF-P28749-F1-model_v4.pdb
P28799 AF-P28799-F1-model_v4.pdb
P28827 AF-P28827-F1-model_v4.pdb
P28906 AF-P28906-F1-model_v4.pdb
P28907 AF-P28907-F1-model_v4.pdb
P28908 AF-P28908-F1-model_v4.pdb
P29016 AF-P29016-F1-model_v4.pdb
P29120 AF-P29120-F1-model_v4.pdb
P29122 AF-P29122-F1-model_v4.pdb
P29218 AF-P29218-F1-model_v4.pdb
P29317 AF-P29317-F1-model_v4.pdb
P29320 AF-P29320-F1-model_v4.pdb
P29322 AF-P29322-F1-model_v4.pdb
P29323 AF-P29323-F1-model_v4.pdb
P29375 AF-P29375-F1-model_v4.pdb
P29376 AF-P29376-F1-model_v4.pdb
P29400 AF-P29400-F1-model_v4.pdb
P29401 AF-P29401-F1-model_v4.pdb
P29466 AF-P29466-F1-model_v4.pdb
P29474 AF-P29474-F1-model_v4.pdb
P29475 AF-P29475-F1-model_v4.pdb
P29508 AF-P29508-F1-model_v4.pdb
P29536 AF-P29536-F1-model_v4.pdb
P29590 AF-P29590-F1-model_v4.pdb
P29692 AF-P29692-F1-model_v4.pdb
P29972 AF-P29972-F1-model_v4.pdb
P30038 AF-P30038-F1-model_v4.pdb
P30154 AF-P30154-F1-model_v4.pdb
P30260 AF-P30260-F1-model_v4.pdb
P30279 AF-P30279-F1-model_v4.pdb
P30291 AF-P30291-F1-model_v4.pdb
P30304 AF-P30304-F1-model_v4.pdb
P30411 AF-P30411-F1-model_v4.pdb
P30518 AF-P30518-F1-model_v4.pdb
P30530 AF-P30530-F1-model_v4.pdb
P30536 AF-P30536-F1-model_v4.pdb
P30542 AF-P30542-F1-model_v4.pdb
P30566 AF-P30566-F1-model_v4.pdb
P30613 AF-P30613-F1-model_v4.pdb
P30622 AF-P30622-F1-model_v4.pdb
P30740 AF-P30740-F1-model_v4.pdb
P30793 AF-P30793-F1-model_v4.pdb
P30926 AF-P30926-F1-model_v4.pdb
P30968 AF-P30968-F1-model_v4.pdb
P31040 AF-P31040-F1-model_v4.pdb
P31153 AF-P31153-F1-model_v4.pdb
P31260 AF-P31260-F1-model_v4.pdb
P31327 AF-P31327-F1-model_v4.pdb
P31483 AF-P31483-F1-model_v4.pdb
P31639 AF-P31639-F1-model_v4.pdb
P31641 AF-P31641-F1-model_v4.pdb
P31645 AF-P31645-F1-model_v4.pdb
P31749 AF-P31749-F1-model_v4.pdb
P31751 AF-P31751-F1-model_v4.pdb
P31785 AF-P31785-F1-model_v4.pdb
P31939 AF-P31939-F1-model_v4.pdb
P31994 AF-P31994-F1-model_v4.pdb
P32004 AF-P32004-F1-model_v4.pdb
P32019 AF-P32019-F1-model_v4.pdb
P32189 AF-P32189-F1-model_v4.pdb
P32239 AF-P32239-F1-model_v4.pdb
P32241 AF-P32241-F1-model_v4.pdb
P32243 AF-P32243-F1-model_v4.pdb
P32297 AF-P32297-F1-model_v4.pdb
P32322 AF-P32322-F1-model_v4.pdb
P32418 AF-P32418-F1-model_v4.pdb
P32754 AF-P32754-F1-model_v4.pdb
P32780 AF-P32780-F1-model_v4.pdb
P32856 AF-P32856-F1-model_v4.pdb
P32927 AF-P32927-F1-model_v4.pdb
P32929 AF-P32929-F1-model_v4.pdb
Q13671 AF-Q13671-F1-model_v4.pdb
Q13683 AF-Q13683-F1-model_v4.pdb
Q13702 AF-Q13702-F1-model_v4.pdb
Q13705 AF-Q13705-F1-model_v4.pdb
Q13724 AF-Q13724-F1-model_v4.pdb
Q13733 AF-Q13733-F1-model_v4.pdb
Q13740 AF-Q13740-F1-model_v4.pdb
Q13753 AF-Q13753-F1-model_v4.pdb
Q13772 AF-Q13772-F1-model_v4.pdb
Q5T0F9 AF-Q5T0F9-F1-model_v4.pdb
Q5T197 AF-Q5T197-F1-model_v4.pdb
Q5T1B0 AF-Q5T1B0-F1-model_v4.pdb
Q5T1H1 AF-Q5T1H1-F1-model_v4.pdb
Q14108 AF-Q14108-F1-model_v4.pdb
Q14112 AF-Q14112-F1-model_v4.pdb
Q14114 AF-Q14114-F1-model_v4.pdb
Q14123 AF-Q14123-F1-model_v4.pdb
Q14129 AF-Q14129-F1-model_v4.pdb
Q14151 AF-Q14151-F1-model_v4.pdb
Q14152 AF-Q14152-F1-model_v4.pdb
Q14155 AF-Q14155-F1-model_v4.pdb
Q5T011 AF-Q5T011-F10-model_v4.pdb
Q5T013 AF-Q5T013-F1-model_v4.pdb
Q13813 AF-Q13813-F1-model_v4.pdb
Q13822 AF-Q13822-F1-model_v4.pdb
Q13825 AF-Q13825-F1-model_v4.pdb
Q13835 AF-Q13835-F1-model_v4.pdb
Q13868 AF-Q13868-F1-model_v4.pdb
Q13873 AF-Q13873-F1-model_v4.pdb
Q13875 AF-Q13875-F1-model_v4.pdb
Q13882 AF-Q13882-F1-model_v4.pdb
Q13887 AF-Q13887-F1-model_v4.pdb
Q13889 AF-Q13889-F1-model_v4.pdb
Q13905 AF-Q13905-F1-model_v4.pdb
Q13936 AF-Q13936-F1-model_v4.pdb
Q13950 AF-Q13950-F1-model_v4.pdb
Q13972 AF-Q13972-F1-model_v4.pdb
Q13976 AF-Q13976-F1-model_v4.pdb
Q14004 AF-Q14004-F1-model_v4.pdb
Q14005 AF-Q14005-F1-model_v4.pdb
Q14008 AF-Q14008-F1-model_v4.pdb
Q14028 AF-Q14028-F1-model_v4.pdb
Q14031 AF-Q14031-F1-model_v4.pdb
Q5SSQ6 AF-Q5SSQ6-F1-model_v4.pdb
Q5ST30 AF-Q5ST30-F1-model_v4.pdb
Q5SW79 AF-Q5SW79-F1-model_v4.pdb
Q5SYB0 AF-Q5SYB0-F1-model_v4.pdb
Q5SYE7 AF-Q5SYE7-F1-model_v4.pdb
Q5SZL2 AF-Q5SZL2-F1-model_v4.pdb
Q5SZQ8 AF-Q5SZQ8-F1-model_v4.pdb
Q14159 AF-Q14159-F1-model_v4.pdb
Q14161 AF-Q14161-F1-model_v4.pdb
Q14162 AF-Q14162-F1-model_v4.pdb
Q14183 AF-Q14183-F1-model_v4.pdb
Q14190 AF-Q14190-F1-model_v4.pdb
Q14192 AF-Q14192-F1-model_v4.pdb
Q14194 AF-Q14194-F1-model_v4.pdb
Q14520 AF-Q14520-F1-model_v4.pdb
Q14524 AF-Q14524-F1-model_v4.pdb
Q14526 AF-Q14526-F1-model_v4.pdb
Q14527 AF-Q14527-F1-model_v4.pdb
Q5SQQ9 AF-Q5SQQ9-F1-model_v4.pdb
Q5SRE5 AF-Q5SRE5-F1-model_v4.pdb
Q5SRH9 AF-Q5SRH9-F1-model_v4.pdb
Q14315 AF-Q14315-F8-model_v4.pdb
Q14318 AF-Q14318-F1-model_v4.pdb
Q14353 AF-Q14353-F1-model_v4.pdb
Q14376 AF-Q14376-F1-model_v4.pdb
Q14406 AF-Q14406-F1-model_v4.pdb
Q14435 AF-Q14435-F1-model_v4.pdb
Q14444 AF-Q14444-F1-model_v4.pdb
Q14449 AF-Q14449-F1-model_v4.pdb
Q14451 AF-Q14451-F1-model_v4.pdb
Q14511 AF-Q14511-F1-model_v4.pdb
Q14202 AF-Q14202-F1-model_v4.pdb
Q14203 AF-Q14203-F1-model_v4.pdb
Q14232 AF-Q14232-F1-model_v4.pdb
Q14240 AF-Q14240-F1-model_v4.pdb
Q14242 AF-Q14242-F1-model_v4.pdb
Q14244 AF-Q14244-F1-model_v4.pdb
Q14246 AF-Q14246-F1-model_v4.pdb
Q14247 AF-Q14247-F1-model_v4.pdb
Q14289 AF-Q14289-F1-model_v4.pdb
Q5MJ70 AF-Q5MJ70-F1-model_v4.pdb
Q5MNZ9 AF-Q5MNZ9-F1-model_v4.pdb
Q5MY95 AF-Q5MY95-F1-model_v4.pdb
Q5NDL2 AF-Q5NDL2-F1-model_v4.pdb
Q5NUL3 AF-Q5NUL3-F1-model_v4.pdb
Q5R372 AF-Q5R372-F1-model_v4.pdb
Q5RI15 AF-Q5RI15-F1-model_v4.pdb
Q5RL73 AF-Q5RL73-F1-model_v4.pdb
Q5SNT2 AF-Q5SNT2-F1-model_v4.pdb
Q5SQ64 AF-Q5SQ64-F1-model_v4.pdb
Q5SQI0 AF-Q5SQI0-F1-model_v4.pdb
Q14565 AF-Q14565-F1-model_v4.pdb
Q14571 AF-Q14571-F1-model_v4.pdb
Q14574 AF-Q14574-F1-model_v4.pdb
Q14587 AF-Q14587-F1-model_v4.pdb
Q5JWF2 AF-Q5JWF2-F1-model_v4.pdb
Q5JXC2 AF-Q5JXC2-F1-model_v4.pdb
Q5JZY3 AF-Q5JZY3-F1-model_v4.pdb
Q5K4E3 AF-Q5K4E3-F1-model_v4.pdb
Q5M9N0 AF-Q5M9N0-F1-model_v4.pdb
Q5JRA6 AF-Q5JRA6-F1-model_v4.pdb
Q5JRV8 AF-Q5JRV8-F1-model_v4.pdb
Q5JRX3 AF-Q5JRX3-F1-model_v4.pdb
Q5JSH3 AF-Q5JSH3-F1-model_v4.pdb
Q5JST6 AF-Q5JST6-F1-model_v4.pdb
Q5JSZ5 AF-Q5JSZ5-F1-model_v4.pdb
Q5JTC6 AF-Q5JTC6-F1-model_v4.pdb
Q5JTH9 AF-Q5JTH9-F1-model_v4.pdb
Q5JTJ3 AF-Q5JTJ3-F1-model_v4.pdb
Q5JTV8 AF-Q5JTV8-F1-model_v4.pdb
Q5JTW2 AF-Q5JTW2-F1-model_v4.pdb
Q5JU85 AF-Q5JU85-F1-model_v4.pdb
Q5JUK3 AF-Q5JUK3-F1-model_v4.pdb
Q5JVL4 AF-Q5JVL4-F1-model_v4.pdb
Q14596 AF-Q14596-F1-model_v4.pdb
Q14624 AF-Q14624-F1-model_v4.pdb
Q14626 AF-Q14626-F1-model_v4.pdb
Q5HYM0 AF-Q5HYM0-F1-model_v4.pdb
Q5HYW2 AF-Q5HYW2-F1-model_v4.pdb
Q5IJ48 AF-Q5IJ48-F1-model_v4.pdb
Q5JPH6 AF-Q5JPH6-F1-model_v4.pdb
Q5JQC9 AF-Q5JQC9-F1-model_v4.pdb
Q5JR12 AF-Q5JR12-F1-model_v4.pdb
Q5F1R6 AF-Q5F1R6-F1-model_v4.pdb
Q5FBB7 AF-Q5FBB7-F1-model_v4.pdb
Q5FVE4 AF-Q5FVE4-F1-model_v4.pdb
Q5FWF4 AF-Q5FWF4-F1-model_v4.pdb
Q5FYB1 AF-Q5FYB1-F1-model_v4.pdb
Q5GFL6 AF-Q5GFL6-F1-model_v4.pdb
Q5H8A4 AF-Q5H8A4-F1-model_v4.pdb
Q5H8C1 AF-Q5H8C1-F1-model_v4.pdb
Q5H913 AF-Q5H913-F1-model_v4.pdb
