A6NLW8 AF-A6NLW8-F1-model_v4.pdb
A8MUM7 AF-A8MUM7-F1-model_v4.pdb
A8MUN3 AF-A8MUN3-F1-model_v4.pdb
A8MUP2 AF-A8MUP2-F1-model_v4.pdb
A8MUP6 AF-A8MUP6-F1-model_v4.pdb
A8MUU1 AF-A8MUU1-F1-model_v4.pdb
A8MUU9 AF-A8MUU9-F1-model_v4.pdb
A8MUV8 AF-A8MUV8-F1-model_v4.pdb
A8MUX0 AF-A8MUX0-F1-model_v4.pdb
A8MUZ8 AF-A8MUZ8-F1-model_v4.pdb
A8MV23 AF-A8MV23-F1-model_v4.pdb
A8MV24 AF-A8MV24-F1-model_v4.pdb
A8MV57 AF-A8MV57-F1-model_v4.pdb
A8MV65 AF-A8MV65-F1-model_v4.pdb
A8MV72 AF-A8MV72-F1-model_v4.pdb
A8MV81 AF-A8MV81-F1-model_v4.pdb
A8MVA2 AF-A8MVA2-F1-model_v4.pdb
A8MVJ9 AF-A8MVJ9-F1-model_v4.pdb
A8MVM7 AF-A8MVM7-F1-model_v4.pdb
A8MVS1 AF-A8MVS1-F1-model_v4.pdb
A8MVS5 AF-A8MVS5-F1-model_v4.pdb
A8MVU1 AF-A8MVU1-F1-model_v4.pdb
A8MVW0 AF-A8MVW0-F1-model_v4.pdb
A8MVW5 AF-A8MVW5-F1-model_v4.pdb
A8MVX0 AF-A8MVX0-F1-model_v4.pdb
A8MVZ5 AF-A8MVZ5-F1-model_v4.pdb
A8MW92 AF-A8MW92-F1-model_v4.pdb
A8MW95 AF-A8MW95-F1-model_v4.pdb
A8MW99 AF-A8MW99-F1-model_v4.pdb
A8MWA4 AF-A8MWA4-F1-model_v4.pdb
A8MWA6 AF-A8MWA6-F1-model_v4.pdb
A8MWD9 AF-A8MWD9-F1-model_v4.pdb
A8MWE9 AF-A8MWE9-F1-model_v4.pdb
A8MWK0 AF-A8MWK0-F1-model_v4.pdb
A8MWL6 AF-A8MWL6-F1-model_v4.pdb
A8MWL7 AF-A8MWL7-F1-model_v4.pdb
A8MWP4 AF-A8MWP4-F1-model_v4.pdb
A8MWP6 AF-A8MWP6-F1-model_v4.pdb
A8MWV9 AF-A8MWV9-F1-model_v4.pdb
A8MWX3 AF-A8MWX3-F1-model_v4.pdb
A8MWY0 AF-A8MWY0-F1-model_v4.pdb
A8MX19 AF-A8MX19-F1-model_v4.pdb
A8MX34 AF-A8MX34-F1-model_v4.pdb
A8MX76 AF-A8MX76-F1-model_v4.pdb
A8MX80 AF-A8MX80-F1-model_v4.pdb
A8MXD5 AF-A8MXD5-F1-model_v4.pdb
A8MXE2 AF-A8MXE2-F1-model_v4.pdb
A8MXJ8 AF-A8MXJ8-F1-model_v4.pdb
A8MXK1 AF-A8MXK1-F1-model_v4.pdb
A8MXK9 AF-A8MXK9-F1-model_v4.pdb
A8MXQ7 AF-A8MXQ7-F1-model_v4.pdb
A8MXT2 AF-A8MXT2-F1-model_v4.pdb
A8MXU0 AF-A8MXU0-F1-model_v4.pdb
A8MXV4 AF-A8MXV4-F1-model_v4.pdb
A8MXV6 AF-A8MXV6-F1-model_v4.pdb
A8MXY4 AF-A8MXY4-F1-model_v4.pdb
A8MXZ1 AF-A8MXZ1-F1-model_v4.pdb
A8MXZ3 AF-A8MXZ3-F1-model_v4.pdb
A8MY62 AF-A8MY62-F1-model_v4.pdb
A8MYA2 AF-A8MYA2-F1-model_v4.pdb
A8MYB1 AF-A8MYB1-F1-model_v4.pdb
A8MYJ7 AF-A8MYJ7-F1-model_v4.pdb
A8MYP8 AF-A8MYP8-F1-model_v4.pdb
A8MYU2 AF-A8MYU2-F1-model_v4.pdb
A8MYV0 AF-A8MYV0-F1-model_v4.pdb
A8MYX2 AF-A8MYX2-F1-model_v4.pdb
A8MYZ0 AF-A8MYZ0-F1-model_v4.pdb
A8MYZ5 AF-A8MYZ5-F1-model_v4.pdb
A8MYZ6 AF-A8MYZ6-F1-model_v4.pdb
A8MZ25 AF-A8MZ25-F1-model_v4.pdb
A8MZ26 AF-A8MZ26-F1-model_v4.pdb
A8MZ36 AF-A8MZ36-F1-model_v4.pdb
A8MZ59 AF-A8MZ59-F1-model_v4.pdb
A8MZ97 AF-A8MZ97-F1-model_v4.pdb
A8MZA4 AF-A8MZA4-F1-model_v4.pdb
A8MZF0 AF-A8MZF0-F1-model_v4.pdb
A8MZG2 AF-A8MZG2-F1-model_v4.pdb
A8MZH6 AF-A8MZH6-F1-model_v4.pdb
A8TX70 AF-A8TX70-F1-model_v4.pdb
A9QM74 AF-A9QM74-F1-model_v4.pdb
A9UHW6 AF-A9UHW6-F1-model_v4.pdb
A9YTQ3 AF-A9YTQ3-F1-model_v4.pdb
A9Z1Z3 AF-A9Z1Z3-F1-model_v4.pdb
B0FP48 AF-B0FP48-F1-model_v4.pdb
B0I1T2 AF-B0I1T2-F1-model_v4.pdb
B0YJ81 AF-B0YJ81-F1-model_v4.pdb
B1AJZ9 AF-B1AJZ9-F1-model_v4.pdb
B1AK53 AF-B1AK53-F1-model_v4.pdb
B1AK76 AF-B1AK76-F1-model_v4.pdb
B1AKI9 AF-B1AKI9-F1-model_v4.pdb
B1AL46 AF-B1AL46-F1-model_v4.pdb
B1AL88 AF-B1AL88-F1-model_v4.pdb
B1AMM8 AF-B1AMM8-F1-model_v4.pdb
B1ANH7 AF-B1ANH7-F1-model_v4.pdb
B1ANS9 AF-B1ANS9-F1-model_v4.pdb
B1ANY3 AF-B1ANY3-F1-model_v4.pdb
B1APH4 AF-B1APH4-F1-model_v4.pdb
B1ATL7 AF-B1ATL7-F1-model_v4.pdb
B2CW77 AF-B2CW77-F1-model_v4.pdb
B2RBV5 AF-B2RBV5-F1-model_v4.pdb
B2RC85 AF-B2RC85-F1-model_v4.pdb
B2RD01 AF-B2RD01-F1-model_v4.pdb
B2RN74 AF-B2RN74-F1-model_v4.pdb
B2RNN3 AF-B2RNN3-F1-model_v4.pdb
B2RPK0 AF-B2RPK0-F1-model_v4.pdb
B2RTY4 AF-B2RTY4-F1-model_v4.pdb
B2RU33 AF-B2RU33-F1-model_v4.pdb
B2RUY7 AF-B2RUY7-F1-model_v4.pdb
B2RUZ4 AF-B2RUZ4-F1-model_v4.pdb
B2RV13 AF-B2RV13-F1-model_v4.pdb
B2RXF0 AF-B2RXF0-F1-model_v4.pdb
B2RXF5 AF-B2RXF5-F1-model_v4.pdb
B2RXH2 AF-B2RXH2-F1-model_v4.pdb
B2RXH4 AF-B2RXH4-F1-model_v4.pdb
B2RXH8 AF-B2RXH8-F1-model_v4.pdb
B3EWF7 AF-B3EWF7-F1-model_v4.pdb
B3EWG3 AF-B3EWG3-F1-model_v4.pdb
B3EWG5 AF-B3EWG5-F1-model_v4.pdb
B3EWG6 AF-B3EWG6-F1-model_v4.pdb
B3GLJ2 AF-B3GLJ2-F1-model_v4.pdb
B3KNS4 AF-B3KNS4-F1-model_v4.pdb
B3KS81 AF-B3KS81-F1-model_v4.pdb
B3KU38 AF-B3KU38-F1-model_v4.pdb
B3SHH9 AF-B3SHH9-F1-model_v4.pdb
B4DH59 AF-B4DH59-F1-model_v4.pdb
B4DJY2 AF-B4DJY2-F1-model_v4.pdb
B4DS77 AF-B4DS77-F1-model_v4.pdb
B4DU55 AF-B4DU55-F1-model_v4.pdb
B4DX44 AF-B4DX44-F1-model_v4.pdb
B4DXR9 AF-B4DXR9-F1-model_v4.pdb
B4DYI2 AF-B4DYI2-F1-model_v4.pdb
B4DZS4 AF-B4DZS4-F1-model_v4.pdb
B4E2M5 AF-B4E2M5-F1-model_v4.pdb
B5MCN3 AF-B5MCN3-F1-model_v4.pdb
B5MCY1 AF-B5MCY1-F1-model_v4.pdb
B5MD39 AF-B5MD39-F1-model_v4.pdb
B5ME19 AF-B5ME19-F1-model_v4.pdb
B6A8C7 AF-B6A8C7-F1-model_v4.pdb
B6SEH8 AF-B6SEH8-F1-model_v4.pdb
B6SEH9 AF-B6SEH9-F1-model_v4.pdb
B7U540 AF-B7U540-F1-model_v4.pdb
B7Z1M9 AF-B7Z1M9-F1-model_v4.pdb
B7Z368 AF-B7Z368-F1-model_v4.pdb
B7Z3J9 AF-B7Z3J9-F1-model_v4.pdb
B7Z6K7 AF-B7Z6K7-F1-model_v4.pdb
B7Z8K6 AF-B7Z8K6-F1-model_v4.pdb
B7ZAQ6 AF-B7ZAQ6-F1-model_v4.pdb
B7ZBB8 AF-B7ZBB8-F1-model_v4.pdb
B7ZC32 AF-B7ZC32-F1-model_v4.pdb
B7ZLF3 AF-B7ZLF3-F1-model_v4.pdb
B7ZW38 AF-B7ZW38-F1-model_v4.pdb
B8ZZ34 AF-B8ZZ34-F1-model_v4.pdb
B9A014 AF-B9A014-F1-model_v4.pdb
B9A064 AF-B9A064-F1-model_v4.pdb
B9A6J9 AF-B9A6J9-F1-model_v4.pdb
B9EJG8 AF-B9EJG8-F1-model_v4.pdb
C4AMC7 AF-C4AMC7-F1-model_v4.pdb
C9J069 AF-C9J069-F1-model_v4.pdb
C9J1S8 AF-C9J1S8-F1-model_v4.pdb
C9J202 AF-C9J202-F1-model_v4.pdb
C9J2P7 AF-C9J2P7-F1-model_v4.pdb
C9J302 AF-C9J302-F1-model_v4.pdb
C9J3I9 AF-C9J3I9-F1-model_v4.pdb
C9J3V5 AF-C9J3V5-F1-model_v4.pdb
C9J442 AF-C9J442-F1-model_v4.pdb
C9J6K1 AF-C9J6K1-F1-model_v4.pdb
C9J798 AF-C9J798-F1-model_v4.pdb
C9J7I0 AF-C9J7I0-F1-model_v4.pdb
C9JA33 AF-C9JA33-F1-model_v4.pdb
C9JBD0 AF-C9JBD0-F1-model_v4.pdb
C9JC47 AF-C9JC47-F1-model_v4.pdb
C9JCN9 AF-C9JCN9-F1-model_v4.pdb
C9JDP6 AF-C9JDP6-F1-model_v4.pdb
C9JDV5 AF-C9JDV5-F1-model_v4.pdb
C9JE40 AF-C9JE40-F1-model_v4.pdb
C9JFL3 AF-C9JFL3-F1-model_v4.pdb
C9JG80 AF-C9JG80-F1-model_v4.pdb
C9JH25 AF-C9JH25-F1-model_v4.pdb
C9JI98 AF-C9JI98-F1-model_v4.pdb
C9JJ37 AF-C9JJ37-F1-model_v4.pdb
C9JJH3 AF-C9JJH3-F1-model_v4.pdb
C9JL84 AF-C9JL84-F1-model_v4.pdb
C9JLJ4 AF-C9JLJ4-F1-model_v4.pdb
C9JLR9 AF-C9JLR9-F1-model_v4.pdb
C9JLW8 AF-C9JLW8-F1-model_v4.pdb
C9JN71 AF-C9JN71-F1-model_v4.pdb
C9JPN9 AF-C9JPN9-F1-model_v4.pdb
C9JQI7 AF-C9JQI7-F1-model_v4.pdb
C9JQL5 AF-C9JQL5-F1-model_v4.pdb
C9JR72 AF-C9JR72-F1-model_v4.pdb
C9JRZ8 AF-C9JRZ8-F1-model_v4.pdb
C9JSJ3 AF-C9JSJ3-F1-model_v4.pdb
C9JTQ0 AF-C9JTQ0-F1-model_v4.pdb
C9JUS6 AF-C9JUS6-F1-model_v4.pdb
C9JVI0 AF-C9JVI0-F1-model_v4.pdb
C9JVW0 AF-C9JVW0-F1-model_v4.pdb
C9JXX5 AF-C9JXX5-F1-model_v4.pdb
D3DTV9 AF-D3DTV9-F1-model_v4.pdb
D3W0D1 AF-D3W0D1-F1-model_v4.pdb
D6R901 AF-D6R901-F1-model_v4.pdb
D6R9N7 AF-D6R9N7-F1-model_v4.pdb
D6RA61 AF-D6RA61-F1-model_v4.pdb
D6RBM5 AF-D6RBM5-F1-model_v4.pdb
D6RBQ6 AF-D6RBQ6-F1-model_v4.pdb
D6RCP7 AF-D6RCP7-F1-model_v4.pdb
D6REC4 AF-D6REC4-F1-model_v4.pdb
D6RF30 AF-D6RF30-F1-model_v4.pdb
D6RGH6 AF-D6RGH6-F1-model_v4.pdb
D6RGX4 AF-D6RGX4-F1-model_v4.pdb
D6RIA3 AF-D6RIA3-F1-model_v4.pdb
D6RJB6 AF-D6RJB6-F1-model_v4.pdb
E0CX11 AF-E0CX11-F1-model_v4.pdb
E2RYF6 AF-E2RYF6-F1-model_v4.pdb
E2RYF7 AF-E2RYF7-F1-model_v4.pdb
E5RG02 AF-E5RG02-F1-model_v4.pdb
E5RHQ5 AF-E5RHQ5-F1-model_v4.pdb
E5RIL1 AF-E5RIL1-F1-model_v4.pdb
E5RJ46 AF-E5RJ46-F1-model_v4.pdb
E5RJM6 AF-E5RJM6-F1-model_v4.pdb
E5RQL4 AF-E5RQL4-F1-model_v4.pdb
E7ERA6 AF-E7ERA6-F1-model_v4.pdb
E7ETH6 AF-E7ETH6-F1-model_v4.pdb
E7EU14 AF-E7EU14-F1-model_v4.pdb
E7EW31 AF-E7EW31-F1-model_v4.pdb
E9PAV3 AF-E9PAV3-F1-model_v4.pdb
E9PB15 AF-E9PB15-F1-model_v4.pdb
E9PGG2 AF-E9PGG2-F1-model_v4.pdb
E9PI22 AF-E9PI22-F1-model_v4.pdb
E9PIF3 AF-E9PIF3-F1-model_v4.pdb
E9PJ23 AF-E9PJ23-F1-model_v4.pdb
E9PJI5 AF-E9PJI5-F1-model_v4.pdb
E9PKD4 AF-E9PKD4-F1-model_v4.pdb
E9PQ18 AF-E9PQ18-F1-model_v4.pdb
E9PQ53 AF-E9PQ53-F1-model_v4.pdb
E9PQR5 AF-E9PQR5-F1-model_v4.pdb
E9PQX1 AF-E9PQX1-F1-model_v4.pdb
E9PRG8 AF-E9PRG8-F1-model_v4.pdb
F2Z333 AF-F2Z333-F1-model_v4.pdb
F2Z398 AF-F2Z398-F1-model_v4.pdb
F2Z3F1 AF-F2Z3F1-F1-model_v4.pdb
F2Z3M2 AF-F2Z3M2-F1-model_v4.pdb
F5GYI3 AF-F5GYI3-F1-model_v4.pdb
F5H284 AF-F5H284-F1-model_v4.pdb
F5H4A9 AF-F5H4A9-F1-model_v4.pdb
F5H4B4 AF-F5H4B4-F1-model_v4.pdb
F8VTS6 AF-F8VTS6-F1-model_v4.pdb
F8W0I5 AF-F8W0I5-F1-model_v4.pdb
F8W1W9 AF-F8W1W9-F1-model_v4.pdb
F8WBI6 AF-F8WBI6-F1-model_v4.pdb
F8WCM5 AF-F8WCM5-F1-model_v4.pdb
F8WFD2 AF-F8WFD2-F1-model_v4.pdb
G2XKQ0 AF-G2XKQ0-F1-model_v4.pdb
G3V0H7 AF-G3V0H7-F1-model_v4.pdb
G3V211 AF-G3V211-F1-model_v4.pdb
G5E9R7 AF-G5E9R7-F1-model_v4.pdb
G9CGD6 AF-G9CGD6-F1-model_v4.pdb
H0UI37 AF-H0UI37-F1-model_v4.pdb
H0Y354 AF-H0Y354-F1-model_v4.pdb
H0Y7S4 AF-H0Y7S4-F1-model_v4.pdb
H0YKK7 AF-H0YKK7-F1-model_v4.pdb
H0YL09 AF-H0YL09-F1-model_v4.pdb
H0YL14 AF-H0YL14-F1-model_v4.pdb
H0YM25 AF-H0YM25-F1-model_v4.pdb
H3BMG3 AF-H3BMG3-F1-model_v4.pdb
H3BN30 AF-H3BN30-F1-model_v4.pdb
H3BNL1 AF-H3BNL1-F1-model_v4.pdb
H3BNL8 AF-H3BNL8-F1-model_v4.pdb
H3BPF8 AF-H3BPF8-F1-model_v4.pdb
H3BPM6 AF-H3BPM6-F1-model_v4.pdb
H3BQB6 AF-H3BQB6-F1-model_v4.pdb
H3BQJ8 AF-H3BQJ8-F1-model_v4.pdb
H3BQL2 AF-H3BQL2-F1-model_v4.pdb
H3BQW9 AF-H3BQW9-F1-model_v4.pdb
H3BR10 AF-H3BR10-F1-model_v4.pdb
H3BRN8 AF-H3BRN8-F1-model_v4.pdb
H3BS89 AF-H3BS89-F1-model_v4.pdb
H3BSY2 AF-H3BSY2-F1-model_v4.pdb
H3BTG2 AF-H3BTG2-F1-model_v4.pdb
H3BU77 AF-H3BU77-F1-model_v4.pdb
H3BUK9 AF-H3BUK9-F1-model_v4.pdb
H3BV12 AF-H3BV12-F1-model_v4.pdb
H3BV60 AF-H3BV60-F1-model_v4.pdb
H7BZ55 AF-H7BZ55-F1-model_v4.pdb
H7C241 AF-H7C241-F1-model_v4.pdb
H7C350 AF-H7C350-F1-model_v4.pdb
I0J062 AF-I0J062-F1-model_v4.pdb
I1YAP6 AF-I1YAP6-F1-model_v4.pdb
I3L0S3 AF-I3L0S3-F1-model_v4.pdb
I3L1E1 AF-I3L1E1-F1-model_v4.pdb
I3L273 AF-I3L273-F1-model_v4.pdb
I3L3R5 AF-I3L3R5-F1-model_v4.pdb
I6L899 AF-I6L899-F1-model_v4.pdb
J3KSC0 AF-J3KSC0-F1-model_v4.pdb
J3QSS5 AF-J3QSS5-F1-model_v4.pdb
K7EIQ3 AF-K7EIQ3-F1-model_v4.pdb
K7EJ46 AF-K7EJ46-F1-model_v4.pdb
K9M1U5 AF-K9M1U5-F1-model_v4.pdb
L0R819 AF-L0R819-F1-model_v4.pdb
M0QZC1 AF-M0QZC1-F1-model_v4.pdb
M0QZD8 AF-M0QZD8-F1-model_v4.pdb
M0R2J8 AF-M0R2J8-F1-model_v4.pdb
M5A8F1 AF-M5A8F1-F1-model_v4.pdb
O00110 AF-O00110-F1-model_v4.pdb
O00115 AF-O00115-F1-model_v4.pdb
O00116 AF-O00116-F1-model_v4.pdb
O00124 AF-O00124-F1-model_v4.pdb
O00139 AF-O00139-F1-model_v4.pdb
O00141 AF-O00141-F1-model_v4.pdb
O00142 AF-O00142-F1-model_v4.pdb
O00144 AF-O00144-F1-model_v4.pdb
O00148 AF-O00148-F1-model_v4.pdb
O00151 AF-O00151-F1-model_v4.pdb
O00154 AF-O00154-F1-model_v4.pdb
O00155 AF-O00155-F1-model_v4.pdb
O00159 AF-O00159-F1-model_v4.pdb
O00160 AF-O00160-F1-model_v4.pdb
O00161 AF-O00161-F1-model_v4.pdb
O00165 AF-O00165-F1-model_v4.pdb
O00167 AF-O00167-F1-model_v4.pdb
O00168 AF-O00168-F1-model_v4.pdb
O00170 AF-O00170-F1-model_v4.pdb
O00175 AF-O00175-F1-model_v4.pdb
O00178 AF-O00178-F1-model_v4.pdb
O00180 AF-O00180-F1-model_v4.pdb
O00182 AF-O00182-F1-model_v4.pdb
O00186 AF-O00186-F1-model_v4.pdb
O00187 AF-O00187-F1-model_v4.pdb
O00189 AF-O00189-F1-model_v4.pdb
O00192 AF-O00192-F1-model_v4.pdb
O00193 AF-O00193-F1-model_v4.pdb
O00194 AF-O00194-F1-model_v4.pdb
O00198 AF-O00198-F1-model_v4.pdb
O00203 AF-O00203-F1-model_v4.pdb
O00204 AF-O00204-F1-model_v4.pdb
O00206 AF-O00206-F1-model_v4.pdb
O00212 AF-O00212-F1-model_v4.pdb
O00213 AF-O00213-F1-model_v4.pdb
O00214 AF-O00214-F1-model_v4.pdb
O00217 AF-O00217-F1-model_v4.pdb
O00219 AF-O00219-F1-model_v4.pdb
O00220 AF-O00220-F1-model_v4.pdb
O00221 AF-O00221-F1-model_v4.pdb
O00222 AF-O00222-F1-model_v4.pdb
O00230 AF-O00230-F1-model_v4.pdb
O00231 AF-O00231-F1-model_v4.pdb
O00232 AF-O00232-F1-model_v4.pdb
O00233 AF-O00233-F1-model_v4.pdb
O00237 AF-O00237-F1-model_v4.pdb
O00238 AF-O00238-F1-model_v4.pdb
O00241 AF-O00241-F1-model_v4.pdb
O00244 AF-O00244-F1-model_v4.pdb
O00253 AF-O00253-F1-model_v4.pdb
O00254 AF-O00254-F1-model_v4.pdb
O00255 AF-O00255-F1-model_v4.pdb
O00257 AF-O00257-F1-model_v4.pdb
O00258 AF-O00258-F1-model_v4.pdb
O00264 AF-O00264-F1-model_v4.pdb
O00267 AF-O00267-F1-model_v4.pdb
O00268 AF-O00268-F1-model_v4.pdb
O00270 AF-O00270-F1-model_v4.pdb
O00273 AF-O00273-F1-model_v4.pdb
O00287 AF-O00287-F1-model_v4.pdb
O00291 AF-O00291-F1-model_v4.pdb
O00292 AF-O00292-F1-model_v4.pdb
O00294 AF-O00294-F1-model_v4.pdb
O00295 AF-O00295-F1-model_v4.pdb
O00299 AF-O00299-F1-model_v4.pdb
