Q7Z392 AF-Q7Z392-F1-model_v4.pdb
Q7Z6I8 AF-Q7Z6I8-F1-model_v4.pdb
Q7Z6J0 AF-Q7Z6J0-F1-model_v4.pdb
Q7Z6J2 AF-Q7Z6J2-F1-model_v4.pdb
Q7Z6J4 AF-Q7Z6J4-F1-model_v4.pdb
Q7Z6J6 AF-Q7Z6J6-F1-model_v4.pdb
Q7Z6J8 AF-Q7Z6J8-F1-model_v4.pdb
Q7Z6J9 AF-Q7Z6J9-F1-model_v4.pdb
Q7Z6K1 AF-Q7Z6K1-F1-model_v4.pdb
Q7Z6K3 AF-Q7Z6K3-F1-model_v4.pdb
Q7Z6K4 AF-Q7Z6K4-F1-model_v4.pdb
Q7Z6K5 AF-Q7Z6K5-F1-model_v4.pdb
Q7Z6L0 AF-Q7Z6L0-F1-model_v4.pdb
Q7Z6L1 AF-Q7Z6L1-F1-model_v4.pdb
Q7Z6M1 AF-Q7Z6M1-F1-model_v4.pdb
Q7Z6M2 AF-Q7Z6M2-F1-model_v4.pdb
Q7Z6M3 AF-Q7Z6M3-F1-model_v4.pdb
Q7Z6M4 AF-Q7Z6M4-F1-model_v4.pdb
Q7Z6P3 AF-Q7Z6P3-F1-model_v4.pdb
Q7Z6R9 AF-Q7Z6R9-F1-model_v4.pdb
Q7Z6V5 AF-Q7Z6V5-F1-model_v4.pdb
Q7Z6W1 AF-Q7Z6W1-F1-model_v4.pdb
Q7Z6W7 AF-Q7Z6W7-F1-model_v4.pdb
Q7Z6Z6 AF-Q7Z6Z6-F1-model_v4.pdb
Q7Z6Z7 AF-Q7Z6Z7-F1-model_v4.pdb
Q7Z713 AF-Q7Z713-F1-model_v4.pdb
Q7Z736 AF-Q7Z736-F1-model_v4.pdb
Q7Z739 AF-Q7Z739-F1-model_v4.pdb
Q7Z745 AF-Q7Z745-F1-model_v4.pdb
Q7Z769 AF-Q7Z769-F1-model_v4.pdb
Q7Z794 AF-Q7Z794-F1-model_v4.pdb
Q7Z7A1 AF-Q7Z7A1-F1-model_v4.pdb
Q7Z7A3 AF-Q7Z7A3-F1-model_v4.pdb
Q7Z7A4 AF-Q7Z7A4-F1-model_v4.pdb
Q7Z7B0 AF-Q7Z7B0-F1-model_v4.pdb
Q7Z7B1 AF-Q7Z7B1-F1-model_v4.pdb
Q7Z7B7 AF-Q7Z7B7-F1-model_v4.pdb
Q7Z7B8 AF-Q7Z7B8-F1-model_v4.pdb
Q7Z7C7 AF-Q7Z7C7-F1-model_v4.pdb
Q7Z7C8 AF-Q7Z7C8-F1-model_v4.pdb
Q7Z7D3 AF-Q7Z7D3-F1-model_v4.pdb
Q7Z7E8 AF-Q7Z7E8-F1-model_v4.pdb
Q7Z7F0 AF-Q7Z7F0-F1-model_v4.pdb
Q7Z7F7 AF-Q7Z7F7-F1-model_v4.pdb
Q7Z7G0 AF-Q7Z7G0-F1-model_v4.pdb
Q7Z7G1 AF-Q7Z7G1-F1-model_v4.pdb
Q7Z7G2 AF-Q7Z7G2-F1-model_v4.pdb
Q7Z7G8 AF-Q7Z7G8-F1-model_v4.pdb
Q7Z7J7 AF-Q7Z7J7-F1-model_v4.pdb
Q86U02 AF-Q86U02-F1-model_v4.pdb
Q86U06 AF-Q86U06-F1-model_v4.pdb
Q86U10 AF-Q86U10-F1-model_v4.pdb
Q86SQ9 AF-Q86SQ9-F1-model_v4.pdb
Q86SR1 AF-Q86SR1-F1-model_v4.pdb
Q86SS6 AF-Q86SS6-F1-model_v4.pdb
Q86SU0 AF-Q86SU0-F1-model_v4.pdb
Q86SX3 AF-Q86SX3-F1-model_v4.pdb
Q86SX6 AF-Q86SX6-F1-model_v4.pdb
Q86SY8 AF-Q86SY8-F1-model_v4.pdb
Q86SZ2 AF-Q86SZ2-F1-model_v4.pdb
Q86T03 AF-Q86T03-F1-model_v4.pdb
Q86T13 AF-Q86T13-F1-model_v4.pdb
Q86T20 AF-Q86T20-F1-model_v4.pdb
Q86T23 AF-Q86T23-F1-model_v4.pdb
Q86T24 AF-Q86T24-F1-model_v4.pdb
Q86T26 AF-Q86T26-F1-model_v4.pdb
Q86T29 AF-Q86T29-F1-model_v4.pdb
Q86T65 AF-Q86T65-F1-model_v4.pdb
Q86T75 AF-Q86T75-F1-model_v4.pdb
Q86T82 AF-Q86T82-F1-model_v4.pdb
Q86T90 AF-Q86T90-F1-model_v4.pdb
Q86T96 AF-Q86T96-F1-model_v4.pdb
Q86TA1 AF-Q86TA1-F1-model_v4.pdb
Q86TA4 AF-Q86TA4-F1-model_v4.pdb
Q86TB3 AF-Q86TB3-F1-model_v4.pdb
Q86TB9 AF-Q86TB9-F1-model_v4.pdb
Q86TC9 AF-Q86TC9-F1-model_v4.pdb
Q86TD4 AF-Q86TD4-F1-model_v4.pdb
Q86TE4 AF-Q86TE4-F1-model_v4.pdb
Q86TG1 AF-Q86TG1-F1-model_v4.pdb
Q86TG7 AF-Q86TG7-F1-model_v4.pdb
Q86TH1 AF-Q86TH1-F1-model_v4.pdb
Q86TI0 AF-Q86TI0-F1-model_v4.pdb
Q86TI2 AF-Q86TI2-F1-model_v4.pdb
Q86TI4 AF-Q86TI4-F1-model_v4.pdb
Q86TJ2 AF-Q86TJ2-F1-model_v4.pdb
Q86TJ5 AF-Q86TJ5-F1-model_v4.pdb
Q86TL0 AF-Q86TL0-F1-model_v4.pdb
Q86TL2 AF-Q86TL2-F1-model_v4.pdb
Q86TM3 AF-Q86TM3-F1-model_v4.pdb
Q86TM6 AF-Q86TM6-F1-model_v4.pdb
Q86TN4 AF-Q86TN4-F1-model_v4.pdb
Q86TP1 AF-Q86TP1-F1-model_v4.pdb
Q86TS7 AF-Q86TS7-F1-model_v4.pdb
Q86TS9 AF-Q86TS9-F1-model_v4.pdb
Q86TU6 AF-Q86TU6-F1-model_v4.pdb
Q86TU7 AF-Q86TU7-F1-model_v4.pdb
Q86TV6 AF-Q86TV6-F1-model_v4.pdb
Q86TW2 AF-Q86TW2-F1-model_v4.pdb
Q86TX2 AF-Q86TX2-F1-model_v4.pdb
Q86TY3 AF-Q86TY3-F1-model_v4.pdb
Q86TZ1 AF-Q86TZ1-F1-model_v4.pdb
Q7Z7H3 AF-Q7Z7H3-F1-model_v4.pdb
Q7Z7H5 AF-Q7Z7H5-F1-model_v4.pdb
Q7Z7H8 AF-Q7Z7H8-F1-model_v4.pdb
Q7Z7J5 AF-Q7Z7J5-F1-model_v4.pdb
Q7Z7J9 AF-Q7Z7J9-F1-model_v4.pdb
Q7Z7K0 AF-Q7Z7K0-F1-model_v4.pdb
Q7Z7K2 AF-Q7Z7K2-F1-model_v4.pdb
Q7Z7K6 AF-Q7Z7K6-F1-model_v4.pdb
Q7Z7L1 AF-Q7Z7L1-F1-model_v4.pdb
Q7Z7L7 AF-Q7Z7L7-F1-model_v4.pdb
Q7Z7L8 AF-Q7Z7L8-F1-model_v4.pdb
Q7Z7L9 AF-Q7Z7L9-F1-model_v4.pdb
Q7Z7M0 AF-Q7Z7M0-F1-model_v4.pdb
Q7Z7M1 AF-Q7Z7M1-F1-model_v4.pdb
Q7Z7M8 AF-Q7Z7M8-F1-model_v4.pdb
Q7Z7M9 AF-Q7Z7M9-F1-model_v4.pdb
Q7Z7N9 AF-Q7Z7N9-F1-model_v4.pdb
Q86SE5 AF-Q86SE5-F1-model_v4.pdb
Q86SE8 AF-Q86SE8-F1-model_v4.pdb
Q86SE9 AF-Q86SE9-F1-model_v4.pdb
Q86SF2 AF-Q86SF2-F1-model_v4.pdb
Q86SG2 AF-Q86SG2-F1-model_v4.pdb
Q86SG3 AF-Q86SG3-F1-model_v4.pdb
Q86SG4 AF-Q86SG4-F1-model_v4.pdb
Q86SG5 AF-Q86SG5-F1-model_v4.pdb
Q86SG6 AF-Q86SG6-F1-model_v4.pdb
Q86SG7 AF-Q86SG7-F1-model_v4.pdb
Q86SH2 AF-Q86SH2-F1-model_v4.pdb
Q86SH4 AF-Q86SH4-F1-model_v4.pdb
Q86SI9 AF-Q86SI9-F1-model_v4.pdb
Q86SJ2 AF-Q86SJ2-F1-model_v4.pdb
Q86SJ6 AF-Q86SJ6-F1-model_v4.pdb
Q86SK9 AF-Q86SK9-F1-model_v4.pdb
Q86SM5 AF-Q86SM5-F1-model_v4.pdb
Q86SM8 AF-Q86SM8-F1-model_v4.pdb
Q86SP6 AF-Q86SP6-F1-model_v4.pdb
Q86SQ0 AF-Q86SQ0-F1-model_v4.pdb
Q86SQ3 AF-Q86SQ3-F1-model_v4.pdb
Q86SQ4 AF-Q86SQ4-F1-model_v4.pdb
Q86SQ6 AF-Q86SQ6-F1-model_v4.pdb
Q86SQ7 AF-Q86SQ7-F1-model_v4.pdb
Q86U17 AF-Q86U17-F1-model_v4.pdb
Q86U28 AF-Q86U28-F1-model_v4.pdb
Q86U37 AF-Q86U37-F1-model_v4.pdb
Q86U38 AF-Q86U38-F1-model_v4.pdb
Q86U42 AF-Q86U42-F1-model_v4.pdb
Q86U44 AF-Q86U44-F1-model_v4.pdb
Q86U70 AF-Q86U70-F1-model_v4.pdb
Q86U86 AF-Q86U86-F1-model_v4.pdb
Q86U90 AF-Q86U90-F1-model_v4.pdb
Q86UA1 AF-Q86UA1-F1-model_v4.pdb
Q86UA6 AF-Q86UA6-F1-model_v4.pdb
Q86UB2 AF-Q86UB2-F1-model_v4.pdb
Q86UB9 AF-Q86UB9-F1-model_v4.pdb
Q86UC2 AF-Q86UC2-F1-model_v4.pdb
Q86UD0 AF-Q86UD0-F1-model_v4.pdb
Q86UD1 AF-Q86UD1-F1-model_v4.pdb
Q86UD3 AF-Q86UD3-F1-model_v4.pdb
Q86UD4 AF-Q86UD4-F1-model_v4.pdb
Q86UD5 AF-Q86UD5-F1-model_v4.pdb
Q86UD7 AF-Q86UD7-F1-model_v4.pdb
Q86UE3 AF-Q86UE3-F1-model_v4.pdb
Q86UE4 AF-Q86UE4-F1-model_v4.pdb
Q86UE6 AF-Q86UE6-F1-model_v4.pdb
Q86UE8 AF-Q86UE8-F1-model_v4.pdb
Q86UF1 AF-Q86UF1-F1-model_v4.pdb
Q86UF2 AF-Q86UF2-F1-model_v4.pdb
Q86UF4 AF-Q86UF4-F1-model_v4.pdb
Q86UG4 AF-Q86UG4-F1-model_v4.pdb
Q86UK0 AF-Q86UK0-F1-model_v4.pdb
Q86UK5 AF-Q86UK5-F1-model_v4.pdb
Q86UK7 AF-Q86UK7-F1-model_v4.pdb
Q86UL3 AF-Q86UL3-F1-model_v4.pdb
Q86UL8 AF-Q86UL8-F1-model_v4.pdb
Q86UN2 AF-Q86UN2-F1-model_v4.pdb
Q86UN3 AF-Q86UN3-F1-model_v4.pdb
Q86UN6 AF-Q86UN6-F1-model_v4.pdb
Q86UP0 AF-Q86UP0-F1-model_v4.pdb
Q86UP2 AF-Q86UP2-F1-model_v4.pdb
Q86UP3 AF-Q86UP3-F1-model_v4.pdb
Q86UP6 AF-Q86UP6-F1-model_v4.pdb
Q86UP8 AF-Q86UP8-F1-model_v4.pdb
Q86UP9 AF-Q86UP9-F1-model_v4.pdb
Q86UQ0 AF-Q86UQ0-F1-model_v4.pdb
Q86UQ4 AF-Q86UQ4-F1-model_v4.pdb
Q86W33 AF-Q86W33-F1-model_v4.pdb
Q86W34 AF-Q86W34-F1-model_v4.pdb
Q86W42 AF-Q86W42-F1-model_v4.pdb
Q86W47 AF-Q86W47-F1-model_v4.pdb
Q86W50 AF-Q86W50-F1-model_v4.pdb
Q86W54 AF-Q86W54-F1-model_v4.pdb
Q86W56 AF-Q86W56-F1-model_v4.pdb
Q86W67 AF-Q86W67-F1-model_v4.pdb
Q86W74 AF-Q86W74-F1-model_v4.pdb
Q86W92 AF-Q86W92-F1-model_v4.pdb
Q86WA6 AF-Q86WA6-F1-model_v4.pdb
Q86WA8 AF-Q86WA8-F1-model_v4.pdb
Q86WA9 AF-Q86WA9-F1-model_v4.pdb
Q86WB0 AF-Q86WB0-F1-model_v4.pdb
Q86WB7 AF-Q86WB7-F1-model_v4.pdb
Q86WC4 AF-Q86WC4-F1-model_v4.pdb
Q86WC6 AF-Q86WC6-F1-model_v4.pdb
Q86WD7 AF-Q86WD7-F1-model_v4.pdb
Q86WG3 AF-Q86WG3-F1-model_v4.pdb
Q86WG5 AF-Q86WG5-F1-model_v4.pdb
Q86WH2 AF-Q86WH2-F1-model_v4.pdb
Q86WI0 AF-Q86WI0-F1-model_v4.pdb
Q86WI1 AF-Q86WI1-F1-model_v4.pdb
Q86VD9 AF-Q86VD9-F1-model_v4.pdb
Q86VE0 AF-Q86VE0-F1-model_v4.pdb
Q86VE3 AF-Q86VE3-F1-model_v4.pdb
Q86VE9 AF-Q86VE9-F1-model_v4.pdb
Q86VF2 AF-Q86VF2-F1-model_v4.pdb
Q86VF5 AF-Q86VF5-F1-model_v4.pdb
Q86VF7 AF-Q86VF7-F1-model_v4.pdb
Q86VG3 AF-Q86VG3-F1-model_v4.pdb
Q86VH2 AF-Q86VH2-F1-model_v4.pdb
Q86VH4 AF-Q86VH4-F1-model_v4.pdb
Q86VH5 AF-Q86VH5-F1-model_v4.pdb
Q86VI1 AF-Q86VI1-F1-model_v4.pdb
Q86VI3 AF-Q86VI3-F1-model_v4.pdb
Q86VI4 AF-Q86VI4-F1-model_v4.pdb
Q86VK4 AF-Q86VK4-F1-model_v4.pdb
Q86VL8 AF-Q86VL8-F1-model_v4.pdb
Q86VM9 AF-Q86VM9-F1-model_v4.pdb
Q86VN1 AF-Q86VN1-F1-model_v4.pdb
Q86VP1 AF-Q86VP1-F1-model_v4.pdb
Q86VP3 AF-Q86VP3-F1-model_v4.pdb
Q86VP6 AF-Q86VP6-F1-model_v4.pdb
Q86VQ0 AF-Q86VQ0-F1-model_v4.pdb
Q86VQ1 AF-Q86VQ1-F1-model_v4.pdb
Q86VQ3 AF-Q86VQ3-F1-model_v4.pdb
Q86VR2 AF-Q86VR2-F1-model_v4.pdb
Q86VR7 AF-Q86VR7-F1-model_v4.pdb
Q86VR8 AF-Q86VR8-F1-model_v4.pdb
Q86VS3 AF-Q86VS3-F1-model_v4.pdb
Q86VS8 AF-Q86VS8-F1-model_v4.pdb
Q86VU5 AF-Q86VU5-F1-model_v4.pdb
Q86VV4 AF-Q86VV4-F1-model_v4.pdb
Q86VV8 AF-Q86VV8-F1-model_v4.pdb
Q86VW0 AF-Q86VW0-F1-model_v4.pdb
Q86VW1 AF-Q86VW1-F1-model_v4.pdb
Q86VW2 AF-Q86VW2-F1-model_v4.pdb
Q86VX2 AF-Q86VX2-F1-model_v4.pdb
Q86VX9 AF-Q86VX9-F1-model_v4.pdb
Q86VY4 AF-Q86VY4-F1-model_v4.pdb
Q86VY9 AF-Q86VY9-F1-model_v4.pdb
Q86VZ1 AF-Q86VZ1-F1-model_v4.pdb
Q86VZ2 AF-Q86VZ2-F1-model_v4.pdb
Q86VZ4 AF-Q86VZ4-F1-model_v4.pdb
Q86VZ5 AF-Q86VZ5-F1-model_v4.pdb
Q86VZ6 AF-Q86VZ6-F1-model_v4.pdb
Q86W10 AF-Q86W10-F1-model_v4.pdb
Q86W11 AF-Q86W11-F1-model_v4.pdb
Q86W24 AF-Q86W24-F1-model_v4.pdb
Q86W25 AF-Q86W25-F1-model_v4.pdb
Q86W26 AF-Q86W26-F1-model_v4.pdb
Q86W28 AF-Q86W28-F1-model_v4.pdb
Q86UQ5 AF-Q86UQ5-F1-model_v4.pdb
Q86UQ8 AF-Q86UQ8-F1-model_v4.pdb
Q86UR1 AF-Q86UR1-F1-model_v4.pdb
Q86UR5 AF-Q86UR5-F1-model_v4.pdb
Q86US8 AF-Q86US8-F1-model_v4.pdb
Q86UT5 AF-Q86UT5-F1-model_v4.pdb
Q86UT6 AF-Q86UT6-F1-model_v4.pdb
Q86UT8 AF-Q86UT8-F1-model_v4.pdb
Q86UU0 AF-Q86UU0-F1-model_v4.pdb
Q86UU1 AF-Q86UU1-F1-model_v4.pdb
Q86UU5 AF-Q86UU5-F1-model_v4.pdb
Q86UU9 AF-Q86UU9-F1-model_v4.pdb
Q86UV5 AF-Q86UV5-F1-model_v4.pdb
Q86UV6 AF-Q86UV6-F1-model_v4.pdb
Q86UV7 AF-Q86UV7-F1-model_v4.pdb
Q86UW1 AF-Q86UW1-F1-model_v4.pdb
Q86UW2 AF-Q86UW2-F1-model_v4.pdb
Q86UW6 AF-Q86UW6-F1-model_v4.pdb
Q86UW7 AF-Q86UW7-F1-model_v4.pdb
Q86UW8 AF-Q86UW8-F1-model_v4.pdb
Q86UW9 AF-Q86UW9-F1-model_v4.pdb
Q86UX2 AF-Q86UX2-F1-model_v4.pdb
Q86UX6 AF-Q86UX6-F1-model_v4.pdb
Q86UX7 AF-Q86UX7-F1-model_v4.pdb
Q86UY5 AF-Q86UY5-F1-model_v4.pdb
Q86UY6 AF-Q86UY6-F1-model_v4.pdb
Q86UY8 AF-Q86UY8-F1-model_v4.pdb
Q86UZ6 AF-Q86UZ6-F1-model_v4.pdb
Q86V15 AF-Q86V15-F1-model_v4.pdb
Q86V20 AF-Q86V20-F1-model_v4.pdb
Q86V21 AF-Q86V21-F1-model_v4.pdb
Q86V24 AF-Q86V24-F1-model_v4.pdb
Q86V25 AF-Q86V25-F1-model_v4.pdb
Q86V35 AF-Q86V35-F1-model_v4.pdb
Q86V40 AF-Q86V40-F1-model_v4.pdb
Q86V42 AF-Q86V42-F1-model_v4.pdb
Q86V48 AF-Q86V48-F1-model_v4.pdb
Q86V59 AF-Q86V59-F1-model_v4.pdb
Q86V71 AF-Q86V71-F1-model_v4.pdb
Q86V81 AF-Q86V81-F1-model_v4.pdb
Q86V85 AF-Q86V85-F1-model_v4.pdb
Q86V86 AF-Q86V86-F1-model_v4.pdb
Q86V87 AF-Q86V87-F1-model_v4.pdb
Q86V88 AF-Q86V88-F1-model_v4.pdb
Q86V97 AF-Q86V97-F1-model_v4.pdb
Q86VB7 AF-Q86VB7-F1-model_v4.pdb
Q86VD1 AF-Q86VD1-F1-model_v4.pdb
Q86VD7 AF-Q86VD7-F1-model_v4.pdb
Q86XZ4 AF-Q86XZ4-F1-model_v4.pdb
Q86Y01 AF-Q86Y01-F1-model_v4.pdb
Q86Y07 AF-Q86Y07-F1-model_v4.pdb
Q86Y13 AF-Q86Y13-F1-model_v4.pdb
