Q9NQG6 AF-Q9NQG6-F1-model_v4.pdb
Q9NPZ5 AF-Q9NPZ5-F1-model_v4.pdb
Q9NQ03 AF-Q9NQ03-F1-model_v4.pdb
Q9NQ11 AF-Q9NQ11-F1-model_v4.pdb
Q9NQ25 AF-Q9NQ25-F1-model_v4.pdb
Q9NQ29 AF-Q9NQ29-F1-model_v4.pdb
Q9NQ30 AF-Q9NQ30-F1-model_v4.pdb
Q9NQ31 AF-Q9NQ31-F1-model_v4.pdb
Q9NQ32 AF-Q9NQ32-F1-model_v4.pdb
Q9NQ33 AF-Q9NQ33-F1-model_v4.pdb
Q9NQ34 AF-Q9NQ34-F1-model_v4.pdb
Q9NQ35 AF-Q9NQ35-F1-model_v4.pdb
Q9NQ36 AF-Q9NQ36-F1-model_v4.pdb
Q9NQ38 AF-Q9NQ38-F1-model_v4.pdb
Q9NQ39 AF-Q9NQ39-F1-model_v4.pdb
Q9NQ40 AF-Q9NQ40-F1-model_v4.pdb
Q9NQ48 AF-Q9NQ48-F1-model_v4.pdb
Q9NQ50 AF-Q9NQ50-F1-model_v4.pdb
Q9NP78 AF-Q9NP78-F1-model_v4.pdb
Q9NP79 AF-Q9NP79-F1-model_v4.pdb
Q9NP80 AF-Q9NP80-F1-model_v4.pdb
Q9NP81 AF-Q9NP81-F1-model_v4.pdb
Q9NP84 AF-Q9NP84-F1-model_v4.pdb
Q9NP85 AF-Q9NP85-F1-model_v4.pdb
Q9NP86 AF-Q9NP86-F1-model_v4.pdb
Q9NP87 AF-Q9NP87-F1-model_v4.pdb
Q9NP90 AF-Q9NP90-F1-model_v4.pdb
Q9NP91 AF-Q9NP91-F1-model_v4.pdb
Q9NP92 AF-Q9NP92-F1-model_v4.pdb
Q9NP94 AF-Q9NP94-F1-model_v4.pdb
Q9NP95 AF-Q9NP95-F1-model_v4.pdb
Q9NP97 AF-Q9NP97-F1-model_v4.pdb
Q9NP98 AF-Q9NP98-F1-model_v4.pdb
Q9NP99 AF-Q9NP99-F1-model_v4.pdb
Q9NPA0 AF-Q9NPA0-F1-model_v4.pdb
Q9NPA1 AF-Q9NPA1-F1-model_v4.pdb
Q9NPA2 AF-Q9NPA2-F1-model_v4.pdb
Q9NPA3 AF-Q9NPA3-F1-model_v4.pdb
Q9NPA8 AF-Q9NPA8-F1-model_v4.pdb
Q9NPB0 AF-Q9NPB0-F1-model_v4.pdb
Q9NPB1 AF-Q9NPB1-F1-model_v4.pdb
Q9NPB3 AF-Q9NPB3-F1-model_v4.pdb
Q9NPB6 AF-Q9NPB6-F1-model_v4.pdb
Q9NPB8 AF-Q9NPB8-F1-model_v4.pdb
Q9NPB9 AF-Q9NPB9-F1-model_v4.pdb
Q9NPC1 AF-Q9NPC1-F1-model_v4.pdb
Q9NPC2 AF-Q9NPC2-F1-model_v4.pdb
Q9NPC3 AF-Q9NPC3-F1-model_v4.pdb
Q9NPC4 AF-Q9NPC4-F1-model_v4.pdb
Q9NPC6 AF-Q9NPC6-F1-model_v4.pdb
Q9NPC7 AF-Q9NPC7-F1-model_v4.pdb
Q9NPC8 AF-Q9NPC8-F1-model_v4.pdb
Q9NPD3 AF-Q9NPD3-F1-model_v4.pdb
Q9NPD5 AF-Q9NPD5-F1-model_v4.pdb
Q9NPD7 AF-Q9NPD7-F1-model_v4.pdb
Q9NPD8 AF-Q9NPD8-F1-model_v4.pdb
Q9NPE2 AF-Q9NPE2-F1-model_v4.pdb
Q9NPE3 AF-Q9NPE3-F1-model_v4.pdb
Q9NPE6 AF-Q9NPE6-F1-model_v4.pdb
Q9NPF0 AF-Q9NPF0-F1-model_v4.pdb
Q9NPF2 AF-Q9NPF2-F1-model_v4.pdb
Q9NPF4 AF-Q9NPF4-F1-model_v4.pdb
Q9NPF5 AF-Q9NPF5-F1-model_v4.pdb
Q9NPF7 AF-Q9NPF7-F1-model_v4.pdb
Q9NPF8 AF-Q9NPF8-F1-model_v4.pdb
Q9NPG1 AF-Q9NPG1-F1-model_v4.pdb
Q9NPG2 AF-Q9NPG2-F1-model_v4.pdb
Q9NPG3 AF-Q9NPG3-F1-model_v4.pdb
Q9HCX4 AF-Q9HCX4-F1-model_v4.pdb
Q9HCY8 AF-Q9HCY8-F1-model_v4.pdb
Q9HCZ1 AF-Q9HCZ1-F1-model_v4.pdb
Q9HD15 AF-Q9HD15-F1-model_v4.pdb
Q9HD20 AF-Q9HD20-F1-model_v4.pdb
Q9HD23 AF-Q9HD23-F1-model_v4.pdb
Q9HD26 AF-Q9HD26-F1-model_v4.pdb
Q9HD33 AF-Q9HD33-F1-model_v4.pdb
Q9HD34 AF-Q9HD34-F1-model_v4.pdb
Q9HD36 AF-Q9HD36-F1-model_v4.pdb
Q9HD40 AF-Q9HD40-F1-model_v4.pdb
Q9HD42 AF-Q9HD42-F1-model_v4.pdb
Q9HD43 AF-Q9HD43-F1-model_v4.pdb
Q9HD45 AF-Q9HD45-F1-model_v4.pdb
Q9HD47 AF-Q9HD47-F1-model_v4.pdb
Q9HD64 AF-Q9HD64-F1-model_v4.pdb
Q9HD67 AF-Q9HD67-F1-model_v4.pdb
Q9HD87 AF-Q9HD87-F1-model_v4.pdb
Q9HD89 AF-Q9HD89-F1-model_v4.pdb
Q9HD90 AF-Q9HD90-F1-model_v4.pdb
Q9HDB9 AF-Q9HDB9-F1-model_v4.pdb
Q9HDC5 AF-Q9HDC5-F1-model_v4.pdb
Q9HDC9 AF-Q9HDC9-F1-model_v4.pdb
Q9HDD0 AF-Q9HDD0-F1-model_v4.pdb
Q9N2J8 AF-Q9N2J8-F1-model_v4.pdb
Q9N2K0 AF-Q9N2K0-F1-model_v4.pdb
Q9NNW5 AF-Q9NNW5-F1-model_v4.pdb
Q9NNX1 AF-Q9NNX1-F1-model_v4.pdb
Q9NNX6 AF-Q9NNX6-F1-model_v4.pdb
Q9NNX9 AF-Q9NNX9-F1-model_v4.pdb
Q9NNZ3 AF-Q9NNZ3-F1-model_v4.pdb
Q9NNZ6 AF-Q9NNZ6-F1-model_v4.pdb
Q9NP08 AF-Q9NP08-F1-model_v4.pdb
Q9NP31 AF-Q9NP31-F1-model_v4.pdb
Q9NP50 AF-Q9NP50-F1-model_v4.pdb
Q9NP55 AF-Q9NP55-F1-model_v4.pdb
Q9NP56 AF-Q9NP56-F1-model_v4.pdb
Q9NP58 AF-Q9NP58-F1-model_v4.pdb
Q9NP59 AF-Q9NP59-F1-model_v4.pdb
Q9NP60 AF-Q9NP60-F1-model_v4.pdb
Q9NP61 AF-Q9NP61-F1-model_v4.pdb
Q9NP62 AF-Q9NP62-F1-model_v4.pdb
Q9NP64 AF-Q9NP64-F1-model_v4.pdb
Q9NP66 AF-Q9NP66-F1-model_v4.pdb
Q9NP70 AF-Q9NP70-F1-model_v4.pdb
Q9NP71 AF-Q9NP71-F1-model_v4.pdb
Q9NP72 AF-Q9NP72-F1-model_v4.pdb
Q9NP73 AF-Q9NP73-F1-model_v4.pdb
Q9NP74 AF-Q9NP74-F1-model_v4.pdb
Q9NP77 AF-Q9NP77-F1-model_v4.pdb
Q9NR11 AF-Q9NR11-F1-model_v4.pdb
Q9NR12 AF-Q9NR12-F1-model_v4.pdb
Q9NR16 AF-Q9NR16-F1-model_v4.pdb
Q9NR19 AF-Q9NR19-F1-model_v4.pdb
Q9NR20 AF-Q9NR20-F1-model_v4.pdb
Q9NR21 AF-Q9NR21-F1-model_v4.pdb
Q9NR22 AF-Q9NR22-F1-model_v4.pdb
Q9NR23 AF-Q9NR23-F1-model_v4.pdb
Q9NR28 AF-Q9NR28-F1-model_v4.pdb
Q9NR30 AF-Q9NR30-F1-model_v4.pdb
Q9NR31 AF-Q9NR31-F1-model_v4.pdb
Q9NR33 AF-Q9NR33-F1-model_v4.pdb
Q9NR34 AF-Q9NR34-F1-model_v4.pdb
Q9NR45 AF-Q9NR45-F1-model_v4.pdb
Q9NR46 AF-Q9NR46-F1-model_v4.pdb
Q9NR48 AF-Q9NR48-F1-model_v4.pdb
Q9NR50 AF-Q9NR50-F1-model_v4.pdb
Q9NR55 AF-Q9NR55-F1-model_v4.pdb
Q9NR56 AF-Q9NR56-F1-model_v4.pdb
Q9NR61 AF-Q9NR61-F1-model_v4.pdb
Q9NR63 AF-Q9NR63-F1-model_v4.pdb
Q9NR64 AF-Q9NR64-F1-model_v4.pdb
Q9NR71 AF-Q9NR71-F1-model_v4.pdb
Q9NR77 AF-Q9NR77-F1-model_v4.pdb
Q9NR80 AF-Q9NR80-F1-model_v4.pdb
Q9NR81 AF-Q9NR81-F1-model_v4.pdb
Q9NR82 AF-Q9NR82-F1-model_v4.pdb
Q9NR83 AF-Q9NR83-F1-model_v4.pdb
Q9NR90 AF-Q9NR90-F1-model_v4.pdb
Q9NR96 AF-Q9NR96-F1-model_v4.pdb
Q9NR97 AF-Q9NR97-F1-model_v4.pdb
Q9NR99 AF-Q9NR99-F1-model_v4.pdb
Q9NRA0 AF-Q9NRA0-F1-model_v4.pdb
Q9NRA1 AF-Q9NRA1-F1-model_v4.pdb
Q9NRA2 AF-Q9NRA2-F1-model_v4.pdb
Q9NRA8 AF-Q9NRA8-F1-model_v4.pdb
Q9NRB3 AF-Q9NRB3-F1-model_v4.pdb
Q9NRC1 AF-Q9NRC1-F1-model_v4.pdb
Q9NRC6 AF-Q9NRC6-F1-model_v4.pdb
Q9NRC8 AF-Q9NRC8-F1-model_v4.pdb
Q9NRC9 AF-Q9NRC9-F1-model_v4.pdb
Q9NRD0 AF-Q9NRD0-F1-model_v4.pdb
Q9NRD1 AF-Q9NRD1-F1-model_v4.pdb
Q9NRD5 AF-Q9NRD5-F1-model_v4.pdb
Q9NSA1 AF-Q9NSA1-F1-model_v4.pdb
Q9NSA2 AF-Q9NSA2-F1-model_v4.pdb
Q9NSA3 AF-Q9NSA3-F1-model_v4.pdb
Q9NSB2 AF-Q9NSB2-F1-model_v4.pdb
Q9NSB4 AF-Q9NSB4-F1-model_v4.pdb
Q9NSB8 AF-Q9NSB8-F1-model_v4.pdb
Q9NSC2 AF-Q9NSC2-F1-model_v4.pdb
Q9NSC5 AF-Q9NSC5-F1-model_v4.pdb
Q9NSC7 AF-Q9NSC7-F1-model_v4.pdb
Q9NSD4 AF-Q9NSD4-F1-model_v4.pdb
Q9NSD5 AF-Q9NSD5-F1-model_v4.pdb
Q9NSD7 AF-Q9NSD7-F1-model_v4.pdb
Q9NSD9 AF-Q9NSD9-F1-model_v4.pdb
Q9NSE2 AF-Q9NSE2-F1-model_v4.pdb
Q9NSE4 AF-Q9NSE4-F1-model_v4.pdb
Q9NSG2 AF-Q9NSG2-F1-model_v4.pdb
Q9NSI2 AF-Q9NSI2-F1-model_v4.pdb
Q9NSI5 AF-Q9NSI5-F1-model_v4.pdb
Q9NSI6 AF-Q9NSI6-F1-model_v4.pdb
Q9NSI8 AF-Q9NSI8-F1-model_v4.pdb
Q9NSJ1 AF-Q9NSJ1-F1-model_v4.pdb
Q9NSK0 AF-Q9NSK0-F1-model_v4.pdb
Q9NSK7 AF-Q9NSK7-F1-model_v4.pdb
Q9NSN8 AF-Q9NSN8-F1-model_v4.pdb
Q9NRU3 AF-Q9NRU3-F1-model_v4.pdb
Q9NRV9 AF-Q9NRV9-F1-model_v4.pdb
Q9NRW1 AF-Q9NRW1-F1-model_v4.pdb
Q9NRW3 AF-Q9NRW3-F1-model_v4.pdb
Q9NRW4 AF-Q9NRW4-F1-model_v4.pdb
Q9NRW7 AF-Q9NRW7-F1-model_v4.pdb
Q9NRX1 AF-Q9NRX1-F1-model_v4.pdb
Q9NRX2 AF-Q9NRX2-F1-model_v4.pdb
Q9NRX3 AF-Q9NRX3-F1-model_v4.pdb
Q9NRX4 AF-Q9NRX4-F1-model_v4.pdb
Q9NRX5 AF-Q9NRX5-F1-model_v4.pdb
Q9NRX6 AF-Q9NRX6-F1-model_v4.pdb
Q9NRY2 AF-Q9NRY2-F1-model_v4.pdb
Q9NRY4 AF-Q9NRY4-F1-model_v4.pdb
Q9NRY5 AF-Q9NRY5-F1-model_v4.pdb
Q9NRY6 AF-Q9NRY6-F1-model_v4.pdb
Q9NRY7 AF-Q9NRY7-F1-model_v4.pdb
Q9NRZ5 AF-Q9NRZ5-F1-model_v4.pdb
Q9NRZ7 AF-Q9NRZ7-F1-model_v4.pdb
Q9NRZ9 AF-Q9NRZ9-F1-model_v4.pdb
Q9NS00 AF-Q9NS00-F1-model_v4.pdb
Q9NS15 AF-Q9NS15-F1-model_v4.pdb
Q9NS18 AF-Q9NS18-F1-model_v4.pdb
Q9NS23 AF-Q9NS23-F1-model_v4.pdb
Q9NS25 AF-Q9NS25-F1-model_v4.pdb
Q9NS26 AF-Q9NS26-F1-model_v4.pdb
Q9NS28 AF-Q9NS28-F1-model_v4.pdb
Q9NS37 AF-Q9NS37-F1-model_v4.pdb
Q9NS39 AF-Q9NS39-F1-model_v4.pdb
Q9NS40 AF-Q9NS40-F1-model_v4.pdb
Q9NS56 AF-Q9NS56-F1-model_v4.pdb
Q9NS61 AF-Q9NS61-F1-model_v4.pdb
Q9NS62 AF-Q9NS62-F1-model_v4.pdb
Q9NS64 AF-Q9NS64-F1-model_v4.pdb
Q9NS66 AF-Q9NS66-F1-model_v4.pdb
Q9NS67 AF-Q9NS67-F1-model_v4.pdb
Q9NS68 AF-Q9NS68-F1-model_v4.pdb
Q9NS69 AF-Q9NS69-F1-model_v4.pdb
Q9NS71 AF-Q9NS71-F1-model_v4.pdb
Q9NS73 AF-Q9NS73-F1-model_v4.pdb
Q9NS75 AF-Q9NS75-F1-model_v4.pdb
Q9NS82 AF-Q9NS82-F1-model_v4.pdb
Q9NS84 AF-Q9NS84-F1-model_v4.pdb
Q9NS85 AF-Q9NS85-F1-model_v4.pdb
Q9NS86 AF-Q9NS86-F1-model_v4.pdb
Q9NS87 AF-Q9NS87-F1-model_v4.pdb
Q9NS91 AF-Q9NS91-F1-model_v4.pdb
Q9NS93 AF-Q9NS93-F1-model_v4.pdb
Q9NS98 AF-Q9NS98-F1-model_v4.pdb
Q9NSA0 AF-Q9NSA0-F1-model_v4.pdb
Q9NRD8 AF-Q9NRD8-F1-model_v4.pdb
Q9NRD9 AF-Q9NRD9-F1-model_v4.pdb
Q9NRE1 AF-Q9NRE1-F1-model_v4.pdb
Q9NRE2 AF-Q9NRE2-F1-model_v4.pdb
Q9NRF2 AF-Q9NRF2-F1-model_v4.pdb
Q9NRF8 AF-Q9NRF8-F1-model_v4.pdb
Q9NRF9 AF-Q9NRF9-F1-model_v4.pdb
Q9NRG0 AF-Q9NRG0-F1-model_v4.pdb
Q9NRG1 AF-Q9NRG1-F1-model_v4.pdb
Q9NRG4 AF-Q9NRG4-F1-model_v4.pdb
Q9NRG7 AF-Q9NRG7-F1-model_v4.pdb
Q9NRG9 AF-Q9NRG9-F1-model_v4.pdb
Q9NRH1 AF-Q9NRH1-F1-model_v4.pdb
Q9NRH2 AF-Q9NRH2-F1-model_v4.pdb
Q9NRH3 AF-Q9NRH3-F1-model_v4.pdb
Q9NRI5 AF-Q9NRI5-F1-model_v4.pdb
Q9NRI6 AF-Q9NRI6-F1-model_v4.pdb
Q9NRI7 AF-Q9NRI7-F1-model_v4.pdb
Q9NRJ1 AF-Q9NRJ1-F1-model_v4.pdb
Q9NRJ2 AF-Q9NRJ2-F1-model_v4.pdb
Q9NRJ3 AF-Q9NRJ3-F1-model_v4.pdb
Q9NRJ4 AF-Q9NRJ4-F1-model_v4.pdb
Q9NRJ5 AF-Q9NRJ5-F1-model_v4.pdb
Q9NRJ7 AF-Q9NRJ7-F1-model_v4.pdb
Q9NRK6 AF-Q9NRK6-F1-model_v4.pdb
Q9NRL2 AF-Q9NRL2-F1-model_v4.pdb
Q9NRL3 AF-Q9NRL3-F1-model_v4.pdb
Q9NRM0 AF-Q9NRM0-F1-model_v4.pdb
Q9NRM1 AF-Q9NRM1-F1-model_v4.pdb
Q9NRM2 AF-Q9NRM2-F1-model_v4.pdb
Q9NRM6 AF-Q9NRM6-F1-model_v4.pdb
Q9NRM7 AF-Q9NRM7-F1-model_v4.pdb
Q9NRN5 AF-Q9NRN5-F1-model_v4.pdb
Q9NRN7 AF-Q9NRN7-F1-model_v4.pdb
Q9NRN9 AF-Q9NRN9-F1-model_v4.pdb
Q9NRP0 AF-Q9NRP0-F1-model_v4.pdb
Q9NRP2 AF-Q9NRP2-F1-model_v4.pdb
Q9NRP4 AF-Q9NRP4-F1-model_v4.pdb
Q9NRP7 AF-Q9NRP7-F1-model_v4.pdb
Q9NRQ2 AF-Q9NRQ2-F1-model_v4.pdb
Q9NRQ5 AF-Q9NRQ5-F1-model_v4.pdb
Q9NRR1 AF-Q9NRR1-F1-model_v4.pdb
Q9NRR2 AF-Q9NRR2-F1-model_v4.pdb
Q9NRR3 AF-Q9NRR3-F1-model_v4.pdb
Q9NRR4 AF-Q9NRR4-F1-model_v4.pdb
Q9NRR5 AF-Q9NRR5-F1-model_v4.pdb
Q9NRR6 AF-Q9NRR6-F1-model_v4.pdb
Q9NRR8 AF-Q9NRR8-F1-model_v4.pdb
Q9NRS4 AF-Q9NRS4-F1-model_v4.pdb
Q9NRS6 AF-Q9NRS6-F1-model_v4.pdb
Q9NSP4 AF-Q9NSP4-F1-model_v4.pdb
Q9NSQ0 AF-Q9NSQ0-F1-model_v4.pdb
Q9NST1 AF-Q9NST1-F1-model_v4.pdb
Q9NSU2 AF-Q9NSU2-F1-model_v4.pdb
Q9NSV4 AF-Q9NSV4-F1-model_v4.pdb
Q9NSY0 AF-Q9NSY0-F1-model_v4.pdb
Q9NSY1 AF-Q9NSY1-F1-model_v4.pdb
Q9NSY2 AF-Q9NSY2-F1-model_v4.pdb
Q9NT22 AF-Q9NT22-F1-model_v4.pdb
Q9NT62 AF-Q9NT62-F1-model_v4.pdb
Q9NT68 AF-Q9NT68-F1-model_v4.pdb
Q9NT99 AF-Q9NT99-F1-model_v4.pdb
Q9NTG1 AF-Q9NTG1-F1-model_v4.pdb
Q9NTG7 AF-Q9NTG7-F1-model_v4.pdb
Q9NTI2 AF-Q9NTI2-F1-model_v4.pdb
Q9NTI5 AF-Q9NTI5-F1-model_v4.pdb
Q9NTI7 AF-Q9NTI7-F1-model_v4.pdb
Q9NTJ3 AF-Q9NTJ3-F1-model_v4.pdb
Q9NTJ4 AF-Q9NTJ4-F1-model_v4.pdb
Q9NTJ5 AF-Q9NTJ5-F1-model_v4.pdb
Q9NTK1 AF-Q9NTK1-F1-model_v4.pdb
Q9NTK5 AF-Q9NTK5-F1-model_v4.pdb
Q9NTM9 AF-Q9NTM9-F1-model_v4.pdb
Q9NTN3 AF-Q9NTN3-F1-model_v4.pdb
Q9NTN9 AF-Q9NTN9-F1-model_v4.pdb
Q9NTQ9 AF-Q9NTQ9-F1-model_v4.pdb
Q9NTU4 AF-Q9NTU4-F1-model_v4.pdb
Q9NTU7 AF-Q9NTU7-F1-model_v4.pdb
Q9NTW7 AF-Q9NTW7-F1-model_v4.pdb
Q9NTX5 AF-Q9NTX5-F1-model_v4.pdb
Q9NTX7 AF-Q9NTX7-F1-model_v4.pdb
Q9NTX9 AF-Q9NTX9-F1-model_v4.pdb
Q9NTZ6 AF-Q9NTZ6-F1-model_v4.pdb
Q9NU02 AF-Q9NU02-F1-model_v4.pdb
Q9NU19 AF-Q9NU19-F1-model_v4.pdb
Q9NU22 AF-Q9NU22-F1-model_v4.pdb
Q9NVR5 AF-Q9NVR5-F1-model_v4.pdb
Q9NVR7 AF-Q9NVR7-F1-model_v4.pdb
Q9NVS2 AF-Q9NVS2-F1-model_v4.pdb
Q9NVS9 AF-Q9NVS9-F1-model_v4.pdb
Q9NVT9 AF-Q9NVT9-F1-model_v4.pdb
Q9NVU0 AF-Q9NVU0-F1-model_v4.pdb
Q9NVU7 AF-Q9NVU7-F1-model_v4.pdb
Q9NVV0 AF-Q9NVV0-F1-model_v4.pdb
Q9NVV2 AF-Q9NVV2-F1-model_v4.pdb
Q9NVV4 AF-Q9NVV4-F1-model_v4.pdb
Q9NVV5 AF-Q9NVV5-F1-model_v4.pdb
Q9NVV9 AF-Q9NVV9-F1-model_v4.pdb
Q9NVW2 AF-Q9NVW2-F1-model_v4.pdb
Q9NVX0 AF-Q9NVX0-F1-model_v4.pdb
Q9NVX2 AF-Q9NVX2-F1-model_v4.pdb
Q9NVX7 AF-Q9NVX7-F1-model_v4.pdb
Q9NVZ3 AF-Q9NVZ3-F1-model_v4.pdb
Q9NW07 AF-Q9NW07-F1-model_v4.pdb
Q9NW08 AF-Q9NW08-F1-model_v4.pdb
Q9NW13 AF-Q9NW13-F1-model_v4.pdb
Q9NW15 AF-Q9NW15-F1-model_v4.pdb
Q9NW38 AF-Q9NW38-F1-model_v4.pdb
Q9NW61 AF-Q9NW61-F1-model_v4.pdb
Q9NW64 AF-Q9NW64-F1-model_v4.pdb
Q9NW68 AF-Q9NW68-F1-model_v4.pdb
Q9NW75 AF-Q9NW75-F1-model_v4.pdb
Q9NW81 AF-Q9NW81-F1-model_v4.pdb
Q9NW82 AF-Q9NW82-F1-model_v4.pdb
Q9NW97 AF-Q9NW97-F1-model_v4.pdb
Q9NWA0 AF-Q9NWA0-F1-model_v4.pdb
Q9NWB1 AF-Q9NWB1-F1-model_v4.pdb
Q9NWB6 AF-Q9NWB6-F1-model_v4.pdb
Q9NWB7 AF-Q9NWB7-F1-model_v4.pdb
Q9NWC5 AF-Q9NWC5-F1-model_v4.pdb
Q9NWD8 AF-Q9NWD8-F1-model_v4.pdb
Q9NV23 AF-Q9NV23-F1-model_v4.pdb
Q9NV29 AF-Q9NV29-F1-model_v4.pdb
Q9NV31 AF-Q9NV31-F1-model_v4.pdb
Q9NV35 AF-Q9NV35-F1-model_v4.pdb
Q9NV39 AF-Q9NV39-F1-model_v4.pdb
Q9NV56 AF-Q9NV56-F1-model_v4.pdb
Q9NV58 AF-Q9NV58-F1-model_v4.pdb
Q9NV64 AF-Q9NV64-F1-model_v4.pdb
Q9NV66 AF-Q9NV66-F1-model_v4.pdb
Q9NV70 AF-Q9NV70-F1-model_v4.pdb
Q9NV72 AF-Q9NV72-F1-model_v4.pdb
Q9NV79 AF-Q9NV79-F1-model_v4.pdb
Q9NV88 AF-Q9NV88-F1-model_v4.pdb
Q9NV92 AF-Q9NV92-F1-model_v4.pdb
Q9NV96 AF-Q9NV96-F1-model_v4.pdb
Q9NVA1 AF-Q9NVA1-F1-model_v4.pdb
Q9NVA2 AF-Q9NVA2-F1-model_v4.pdb
Q9NVA4 AF-Q9NVA4-F1-model_v4.pdb
Q9NVC3 AF-Q9NVC3-F1-model_v4.pdb
Q9NVC6 AF-Q9NVC6-F1-model_v4.pdb
Q9NVD3 AF-Q9NVD3-F1-model_v4.pdb
Q9NVD7 AF-Q9NVD7-F1-model_v4.pdb
Q9NVE4 AF-Q9NVE4-F1-model_v4.pdb
Q9NVE5 AF-Q9NVE5-F1-model_v4.pdb
Q9NVE7 AF-Q9NVE7-F1-model_v4.pdb
Q9NVF7 AF-Q9NVF7-F1-model_v4.pdb
Q9NVF9 AF-Q9NVF9-F1-model_v4.pdb
Q9NVG8 AF-Q9NVG8-F1-model_v4.pdb
Q9NVH0 AF-Q9NVH0-F1-model_v4.pdb
Q9NVH1 AF-Q9NVH1-F1-model_v4.pdb
Q9NVH2 AF-Q9NVH2-F1-model_v4.pdb
Q9NVH6 AF-Q9NVH6-F1-model_v4.pdb
Q9NVI1 AF-Q9NVI1-F1-model_v4.pdb
Q9NVI7 AF-Q9NVI7-F1-model_v4.pdb
Q9NVJ2 AF-Q9NVJ2-F1-model_v4.pdb
Q9NVK5 AF-Q9NVK5-F1-model_v4.pdb
Q9NVL1 AF-Q9NVL1-F1-model_v4.pdb
Q9NVL8 AF-Q9NVL8-F1-model_v4.pdb
Q9NVM1 AF-Q9NVM1-F1-model_v4.pdb
Q9NVM4 AF-Q9NVM4-F1-model_v4.pdb
Q9NVM6 AF-Q9NVM6-F1-model_v4.pdb
Q9NVM9 AF-Q9NVM9-F1-model_v4.pdb
Q9NVN3 AF-Q9NVN3-F1-model_v4.pdb
Q9NVN8 AF-Q9NVN8-F1-model_v4.pdb
Q9NVP1 AF-Q9NVP1-F1-model_v4.pdb
Q9NVP2 AF-Q9NVP2-F1-model_v4.pdb
Q9NVP4 AF-Q9NVP4-F1-model_v4.pdb
Q9NVQ4 AF-Q9NVQ4-F1-model_v4.pdb
