Q9UBW7 AF-Q9UBW7-F1-model_v4.pdb
Q9UK96 AF-Q9UK96-F1-model_v4.pdb
Q9UK99 AF-Q9UK99-F1-model_v4.pdb
Q9UKB1 AF-Q9UKB1-F1-model_v4.pdb
Q9UKB3 AF-Q9UKB3-F1-model_v4.pdb
Q9UKE5 AF-Q9UKE5-F1-model_v4.pdb
Q9UKG9 AF-Q9UKG9-F1-model_v4.pdb
Q9UKJ1 AF-Q9UKJ1-F1-model_v4.pdb
Q9UKJ3 AF-Q9UKJ3-F1-model_v4.pdb
Q9UKM9 AF-Q9UKM9-F1-model_v4.pdb
Q9UKN1 AF-Q9UKN1-F1-model_v4.pdb
Q9UKN7 AF-Q9UKN7-F1-model_v4.pdb
Q9ULH0 AF-Q9ULH0-F1-model_v4.pdb
Q9ULH7 AF-Q9ULH7-F1-model_v4.pdb
Q9ULI3 AF-Q9ULI3-F1-model_v4.pdb
Q9ULJ1 AF-Q9ULJ1-F1-model_v4.pdb
Q9ULJ6 AF-Q9ULJ6-F1-model_v4.pdb
Q9ULJ8 AF-Q9ULJ8-F1-model_v4.pdb
Q9ULK0 AF-Q9ULK0-F1-model_v4.pdb
Q9ULK4 AF-Q9ULK4-F1-model_v4.pdb
Q9ULL4 AF-Q9ULL4-F1-model_v4.pdb
Q9ULL8 AF-Q9ULL8-F1-model_v4.pdb
A6NMZ7 AF-A6NMZ7-F1-model_v4.pdb
A6NNL0 AF-A6NNL0-F1-model_v4.pdb
A6PVS8 AF-A6PVS8-F1-model_v4.pdb
A6QL63 AF-A6QL63-F1-model_v4.pdb
A7E2F4 AF-A7E2F4-F1-model_v4.pdb
A7E2Y1 AF-A7E2Y1-F1-model_v4.pdb
A7KAX9 AF-A7KAX9-F1-model_v4.pdb
A8K0R7 AF-A8K0R7-F1-model_v4.pdb
A8K855 AF-A8K855-F1-model_v4.pdb
A8K8P3 AF-A8K8P3-F1-model_v4.pdb
A8MQ27 AF-A8MQ27-F1-model_v4.pdb
A8MT70 AF-A8MT70-F1-model_v4.pdb
A8MTZ0 AF-A8MTZ0-F1-model_v4.pdb
A8MVW5 AF-A8MVW5-F1-model_v4.pdb
A8MX76 AF-A8MX76-F1-model_v4.pdb
A8TX70 AF-A8TX70-F1-model_v4.pdb
B0YJ81 AF-B0YJ81-F1-model_v4.pdb
B1AK53 AF-B1AK53-F1-model_v4.pdb
B2RC85 AF-B2RC85-F1-model_v4.pdb
B2RNN3 AF-B2RNN3-F1-model_v4.pdb
B2RTY4 AF-B2RTY4-F1-model_v4.pdb
C9JRZ8 AF-C9JRZ8-F1-model_v4.pdb
E9PKD4 AF-E9PKD4-F1-model_v4.pdb
E9PQ53 AF-E9PQ53-F1-model_v4.pdb
F8WCM5 AF-F8WCM5-F1-model_v4.pdb
M0R2J8 AF-M0R2J8-F1-model_v4.pdb
O00115 AF-O00115-F1-model_v4.pdb
O00139 AF-O00139-F1-model_v4.pdb
O00141 AF-O00141-F1-model_v4.pdb
O00142 AF-O00142-F1-model_v4.pdb
O00148 AF-O00148-F1-model_v4.pdb
O00154 AF-O00154-F1-model_v4.pdb
O00159 AF-O00159-F1-model_v4.pdb
O00165 AF-O00165-F1-model_v4.pdb
O00167 AF-O00167-F1-model_v4.pdb
O00182 AF-O00182-F1-model_v4.pdb
O00187 AF-O00187-F1-model_v4.pdb
O00192 AF-O00192-F1-model_v4.pdb
O00203 AF-O00203-F1-model_v4.pdb
O00204 AF-O00204-F1-model_v4.pdb
O00206 AF-O00206-F1-model_v4.pdb
O00213 AF-O00213-F1-model_v4.pdb
O00214 AF-O00214-F1-model_v4.pdb
O00219 AF-O00219-F1-model_v4.pdb
O00222 AF-O00222-F1-model_v4.pdb
O00232 AF-O00232-F1-model_v4.pdb
O00238 AF-O00238-F1-model_v4.pdb
O00264 AF-O00264-F1-model_v4.pdb
O00273 AF-O00273-F1-model_v4.pdb
O00291 AF-O00291-F1-model_v4.pdb
O00292 AF-O00292-F1-model_v4.pdb
O00294 AF-O00294-F1-model_v4.pdb
Q9NUV7 AF-Q9NUV7-F1-model_v4.pdb
Q9NUW8 AF-Q9NUW8-F1-model_v4.pdb
Q9NUX5 AF-Q9NUX5-F1-model_v4.pdb
Q9NUY8 AF-Q9NUY8-F1-model_v4.pdb
Q9NWF4 AF-Q9NWF4-F1-model_v4.pdb
Q9NWF9 AF-Q9NWF9-F1-model_v4.pdb
Q9NWH9 AF-Q9NWH9-F1-model_v4.pdb
Q9NWS8 AF-Q9NWS8-F1-model_v4.pdb
Q9NWS9 AF-Q9NWS9-F1-model_v4.pdb
Q9NWW5 AF-Q9NWW5-F1-model_v4.pdb
Q9NWZ3 AF-Q9NWZ3-F1-model_v4.pdb
Q9NX02 AF-Q9NX02-F1-model_v4.pdb
Q9NX14 AF-Q9NX14-F1-model_v4.pdb
Q9NX78 AF-Q9NX78-F1-model_v4.pdb
Q9NX95 AF-Q9NX95-F1-model_v4.pdb
Q9NXA8 AF-Q9NXA8-F1-model_v4.pdb
Q9NXB0 AF-Q9NXB0-F1-model_v4.pdb
Q9NXE4 AF-Q9NXE4-F1-model_v4.pdb
Q9NXG0 AF-Q9NXG0-F1-model_v4.pdb
Q9NXG6 AF-Q9NXG6-F1-model_v4.pdb
Q9NXH9 AF-Q9NXH9-F1-model_v4.pdb
Q9NXJ5 AF-Q9NXJ5-F1-model_v4.pdb
Q9NXL6 AF-Q9NXL6-F1-model_v4.pdb
Q9NXL9 AF-Q9NXL9-F1-model_v4.pdb
Q9NXN4 AF-Q9NXN4-F1-model_v4.pdb
Q9NXP7 AF-Q9NXP7-F1-model_v4.pdb
Q9NXR7 AF-Q9NXR7-F1-model_v4.pdb
Q9NXS2 AF-Q9NXS2-F1-model_v4.pdb
Q9NXZ2 AF-Q9NXZ2-F1-model_v4.pdb
Q9NY15 AF-Q9NY15-F1-model_v4.pdb
Q9NY30 AF-Q9NY30-F1-model_v4.pdb
Q9NY33 AF-Q9NY33-F1-model_v4.pdb
Q9NY46 AF-Q9NY46-F1-model_v4.pdb
Q9NY47 AF-Q9NY47-F1-model_v4.pdb
Q9NY57 AF-Q9NY57-F1-model_v4.pdb
Q9NY65 AF-Q9NY65-F1-model_v4.pdb
Q9NY93 AF-Q9NY93-F1-model_v4.pdb
Q9NY97 AF-Q9NY97-F1-model_v4.pdb
Q9NY99 AF-Q9NY99-F1-model_v4.pdb
Q9NYA1 AF-Q9NYA1-F1-model_v4.pdb
Q9NYB5 AF-Q9NYB5-F1-model_v4.pdb
Q9NYC9 AF-Q9NYC9-F1-model_v4.pdb
Q9NYF0 AF-Q9NYF0-F1-model_v4.pdb
Q9NYF8 AF-Q9NYF8-F1-model_v4.pdb
Q9NYG2 AF-Q9NYG2-F1-model_v4.pdb
Q9NYG8 AF-Q9NYG8-F1-model_v4.pdb
Q9NYI0 AF-Q9NYI0-F1-model_v4.pdb
Q9NYJ7 AF-Q9NYJ7-F1-model_v4.pdb
Q9NYJ8 AF-Q9NYJ8-F1-model_v4.pdb
Q9NYL2 AF-Q9NYL2-F1-model_v4.pdb
Q9NYP3 AF-Q9NYP3-F1-model_v4.pdb
Q9NYP7 AF-Q9NYP7-F1-model_v4.pdb
Q9NYQ6 AF-Q9NYQ6-F1-model_v4.pdb
Q9NYQ7 AF-Q9NYQ7-F1-model_v4.pdb
Q9NZL4 AF-Q9NZL4-F1-model_v4.pdb
Q9NZL9 AF-Q9NZL9-F1-model_v4.pdb
Q9NZM1 AF-Q9NZM1-F1-model_v4.pdb
Q9NZM3 AF-Q9NZM3-F1-model_v4.pdb
Q9NZM4 AF-Q9NZM4-F1-model_v4.pdb
Q9NZN1 AF-Q9NZN1-F1-model_v4.pdb
Q9NZN5 AF-Q9NZN5-F1-model_v4.pdb
Q9NZN8 AF-Q9NZN8-F1-model_v4.pdb
Q9NZN9 AF-Q9NZN9-F1-model_v4.pdb
Q9NZB2 AF-Q9NZB2-F1-model_v4.pdb
Q9NZB8 AF-Q9NZB8-F1-model_v4.pdb
Q9NZC2 AF-Q9NZC2-F1-model_v4.pdb
Q9NZC7 AF-Q9NZC7-F1-model_v4.pdb
Q9NZD8 AF-Q9NZD8-F1-model_v4.pdb
Q9NZH0 AF-Q9NZH0-F1-model_v4.pdb
Q9NZH6 AF-Q9NZH6-F1-model_v4.pdb
Q9NZI2 AF-Q9NZI2-F1-model_v4.pdb
Q9NZI8 AF-Q9NZI8-F1-model_v4.pdb
Q9NZJ4 AF-Q9NZJ4-F1-model_v4.pdb
Q9NZK5 AF-Q9NZK5-F1-model_v4.pdb
Q9NYS7 AF-Q9NYS7-F1-model_v4.pdb
Q9NYU1 AF-Q9NYU1-F1-model_v4.pdb
Q9NYU2 AF-Q9NYU2-F1-model_v4.pdb
Q9NYV4 AF-Q9NYV4-F1-model_v4.pdb
Q9NYV6 AF-Q9NYV6-F1-model_v4.pdb
Q9NYW8 AF-Q9NYW8-F1-model_v4.pdb
Q9NYY1 AF-Q9NYY1-F1-model_v4.pdb
Q9NYY8 AF-Q9NYY8-F1-model_v4.pdb
Q9NYZ2 AF-Q9NYZ2-F1-model_v4.pdb
Q9NYZ4 AF-Q9NYZ4-F1-model_v4.pdb
Q9NZ01 AF-Q9NZ01-F1-model_v4.pdb
Q9NZ08 AF-Q9NZ08-F1-model_v4.pdb
Q9NZ09 AF-Q9NZ09-F1-model_v4.pdb
Q9NZ56 AF-Q9NZ56-F1-model_v4.pdb
Q9NZ71 AF-Q9NZ71-F1-model_v4.pdb
Q9NZ94 AF-Q9NZ94-F1-model_v4.pdb
Q9NZA1 AF-Q9NZA1-F1-model_v4.pdb
Q9NZQ8 AF-Q9NZQ8-F1-model_v4.pdb
Q9NZR4 AF-Q9NZR4-F1-model_v4.pdb
Q9NZS9 AF-Q9NZS9-F1-model_v4.pdb
Q9NZZ3 AF-Q9NZZ3-F1-model_v4.pdb
Q9P0J0 AF-Q9P0J0-F1-model_v4.pdb
Q9P0J1 AF-Q9P0J1-F1-model_v4.pdb
Q9P0K1 AF-Q9P0K1-F1-model_v4.pdb
Q9P0K7 AF-Q9P0K7-F1-model_v4.pdb
Q9P0L2 AF-Q9P0L2-F1-model_v4.pdb
Q9P0L9 AF-Q9P0L9-F1-model_v4.pdb
Q9P0N5 AF-Q9P0N5-F1-model_v4.pdb
Q9P0N9 AF-Q9P0N9-F1-model_v4.pdb
Q9P0U3 AF-Q9P0U3-F1-model_v4.pdb
Q9P0V3 AF-Q9P0V3-F1-model_v4.pdb
Q9P0W8 AF-Q9P0W8-F1-model_v4.pdb
Q9P0X4 AF-Q9P0X4-F1-model_v4.pdb
Q9P121 AF-Q9P121-F1-model_v4.pdb
Q9P1Q0 AF-Q9P1Q0-F1-model_v4.pdb
Q9P1T7 AF-Q9P1T7-F1-model_v4.pdb
Q9P1Y5 AF-Q9P1Y5-F1-model_v4.pdb
Q9P1Y6 AF-Q9P1Y6-F1-model_v4.pdb
Q9P202 AF-Q9P202-F1-model_v4.pdb
Q9P212 AF-Q9P212-F1-model_v4.pdb
Q9P218 AF-Q9P218-F1-model_v4.pdb
Q9P219 AF-Q9P219-F1-model_v4.pdb
Q9P225 AF-Q9P225-F1-model_v4.pdb
Q9P241 AF-Q9P241-F1-model_v4.pdb
Q9P243 AF-Q9P243-F1-model_v4.pdb
Q9P260 AF-Q9P260-F1-model_v4.pdb
Q9P267 AF-Q9P267-F1-model_v4.pdb
Q9P278 AF-Q9P278-F1-model_v4.pdb
Q9P283 AF-Q9P283-F1-model_v4.pdb
Q9P289 AF-Q9P289-F1-model_v4.pdb
Q9P2B7 AF-Q9P2B7-F1-model_v4.pdb
Q9P2D0 AF-Q9P2D0-F1-model_v4.pdb
Q9P2D1 AF-Q9P2D1-F1-model_v4.pdb
Q9P2D8 AF-Q9P2D8-F1-model_v4.pdb
Q9P2E3 AF-Q9P2E3-F1-model_v4.pdb
Q9P2E5 AF-Q9P2E5-F1-model_v4.pdb
Q9P2E7 AF-Q9P2E7-F1-model_v4.pdb
Q9P2E9 AF-Q9P2E9-F1-model_v4.pdb
Q9P2F6 AF-Q9P2F6-F1-model_v4.pdb
Q9P2F8 AF-Q9P2F8-F1-model_v4.pdb
Q9P2H3 AF-Q9P2H3-F1-model_v4.pdb
Q9P2J2 AF-Q9P2J2-F1-model_v4.pdb
Q9P2J5 AF-Q9P2J5-F1-model_v4.pdb
Q9P2K1 AF-Q9P2K1-F1-model_v4.pdb
Q9P2K8 AF-Q9P2K8-F1-model_v4.pdb
Q9P2K9 AF-Q9P2K9-F1-model_v4.pdb
Q9P2L0 AF-Q9P2L0-F1-model_v4.pdb
Q9P2M4 AF-Q9P2M4-F1-model_v4.pdb
Q9P2N4 AF-Q9P2N4-F1-model_v4.pdb
Q9P2P1 AF-Q9P2P1-F1-model_v4.pdb
Q9P2P5 AF-Q9P2P5-F1-model_v4.pdb
Q9P2P6 AF-Q9P2P6-F1-model_v4.pdb
Q9UBT6 AF-Q9UBT6-F1-model_v4.pdb
Q9UBT7 AF-Q9UBT7-F1-model_v4.pdb
Q9UBU3 AF-Q9UBU3-F1-model_v4.pdb
Q9UBU7 AF-Q9UBU7-F1-model_v4.pdb
Q9UBU9 AF-Q9UBU9-F1-model_v4.pdb
Q9UBV2 AF-Q9UBV2-F1-model_v4.pdb
Q9UBV4 AF-Q9UBV4-F1-model_v4.pdb
Q86XK2 AF-Q86XK2-F1-model_v4.pdb
Q86XK7 AF-Q86XK7-F1-model_v4.pdb
Q86XL3 AF-Q86XL3-F1-model_v4.pdb
Q86XN7 AF-Q86XN7-F1-model_v4.pdb
Q86XP0 AF-Q86XP0-F1-model_v4.pdb
Q86XR5 AF-Q86XR5-F1-model_v4.pdb
Q86XR7 AF-Q86XR7-F1-model_v4.pdb
Q86XR8 AF-Q86XR8-F1-model_v4.pdb
Q86XX4 AF-Q86XX4-F1-model_v4.pdb
Q86WI3 AF-Q86WI3-F1-model_v4.pdb
Q86WJ1 AF-Q86WJ1-F1-model_v4.pdb
Q86WR7 AF-Q86WR7-F1-model_v4.pdb
Q86WT6 AF-Q86WT6-F1-model_v4.pdb
Q86WU2 AF-Q86WU2-F1-model_v4.pdb
Q86X10 AF-Q86X10-F1-model_v4.pdb
Q86X24 AF-Q86X24-F1-model_v4.pdb
Q86X45 AF-Q86X45-F1-model_v4.pdb
Q86XA0 AF-Q86XA0-F1-model_v4.pdb
Q86YL7 AF-Q86YL7-F1-model_v4.pdb
Q86YN6 AF-Q86YN6-F1-model_v4.pdb
Q86YS3 AF-Q86YS3-F1-model_v4.pdb
Q86YT5 AF-Q86YT5-F1-model_v4.pdb
Q86YV0 AF-Q86YV0-F1-model_v4.pdb
Q86YV6 AF-Q86YV6-F1-model_v4.pdb
Q86YW0 AF-Q86YW0-F1-model_v4.pdb
Q86YW9 AF-Q86YW9-F1-model_v4.pdb
Q8IU68 AF-Q8IU68-F1-model_v4.pdb
Q8IU80 AF-Q8IU80-F1-model_v4.pdb
Q8IU85 AF-Q8IU85-F1-model_v4.pdb
Q8IUC4 AF-Q8IUC4-F1-model_v4.pdb
Q8IUD6 AF-Q8IUD6-F1-model_v4.pdb
Q8IUG5 AF-Q8IUG5-F1-model_v4.pdb
Q8IUH4 AF-Q8IUH4-F1-model_v4.pdb
Q8IUM7 AF-Q8IUM7-F1-model_v4.pdb
Q8IUN9 AF-Q8IUN9-F1-model_v4.pdb
Q8IUQ4 AF-Q8IUQ4-F1-model_v4.pdb
Q8IUR7 AF-Q8IUR7-F1-model_v4.pdb
Q8IUX1 AF-Q8IUX1-F1-model_v4.pdb
Q8IUX4 AF-Q8IUX4-F1-model_v4.pdb
Q8IUX7 AF-Q8IUX7-F1-model_v4.pdb
Q8IUX8 AF-Q8IUX8-F1-model_v4.pdb
Q8IUZ5 AF-Q8IUZ5-F1-model_v4.pdb
Q8IV36 AF-Q8IV36-F1-model_v4.pdb
Q8IV53 AF-Q8IV53-F1-model_v4.pdb
Q8IV77 AF-Q8IV77-F1-model_v4.pdb
Q8IVA1 AF-Q8IVA1-F1-model_v4.pdb
Q8IVF2 AF-Q8IVF2-F1-model_v4.pdb
Q8IVF4 AF-Q8IVF4-F1-model_v4.pdb
Q8IVF5 AF-Q8IVF5-F1-model_v4.pdb
Q8IVF6 AF-Q8IVF6-F1-model_v4.pdb
Q8IVG5 AF-Q8IVG5-F1-model_v4.pdb
Q8IVH2 AF-Q8IVH2-F1-model_v4.pdb
Q8IVH8 AF-Q8IVH8-F1-model_v4.pdb
Q8IVI9 AF-Q8IVI9-F1-model_v4.pdb
Q8IVL0 AF-Q8IVL0-F1-model_v4.pdb
Q8IVL1 AF-Q8IVL1-F1-model_v4.pdb
Q8IVL5 AF-Q8IVL5-F1-model_v4.pdb
Q8IVM0 AF-Q8IVM0-F1-model_v4.pdb
Q8IVS2 AF-Q8IVS2-F1-model_v4.pdb
Q8IVS8 AF-Q8IVS8-F1-model_v4.pdb
Q8IVU3 AF-Q8IVU3-F1-model_v4.pdb
Q8IVV2 AF-Q8IVV2-F1-model_v4.pdb
Q8IW35 AF-Q8IW35-F1-model_v4.pdb
Q8IW40 AF-Q8IW40-F1-model_v4.pdb
Q8IW45 AF-Q8IW45-F1-model_v4.pdb
Q8IW93 AF-Q8IW93-F1-model_v4.pdb
Q8IWA4 AF-Q8IWA4-F1-model_v4.pdb
Q8IWB6 AF-Q8IWB6-F1-model_v4.pdb
Q8IWC1 AF-Q8IWC1-F1-model_v4.pdb
Q8IWE2 AF-Q8IWE2-F1-model_v4.pdb
Q8IWE5 AF-Q8IWE5-F1-model_v4.pdb
Q8IZQ1 AF-Q8IZQ1-F9-model_v4.pdb
Q8IZQ8 AF-Q8IZQ8-F1-model_v4.pdb
Q8IZF0 AF-Q8IZF0-F1-model_v4.pdb
Q8IZF6 AF-Q8IZF6-F1-model_v4.pdb
Q8IZH2 AF-Q8IZH2-F1-model_v4.pdb
Q8IZK6 AF-Q8IZK6-F1-model_v4.pdb
Q8IZL9 AF-Q8IZL9-F1-model_v4.pdb
Q8IZM9 AF-Q8IZM9-F1-model_v4.pdb
Q8IZN3 AF-Q8IZN3-F1-model_v4.pdb
Q8IZP9 AF-Q8IZP9-F1-model_v4.pdb
Q8IWG1 AF-Q8IWG1-F1-model_v4.pdb
Q8IWI9 AF-Q8IWI9-F1-model_v4.pdb
Q8IYX3 AF-Q8IYX3-F1-model_v4.pdb
Q8IYX8 AF-Q8IYX8-F1-model_v4.pdb
Q8IYY4 AF-Q8IYY4-F1-model_v4.pdb
Q8IZ02 AF-Q8IZ02-F1-model_v4.pdb
Q8IZ83 AF-Q8IZ83-F1-model_v4.pdb
Q8IZA0 AF-Q8IZA0-F1-model_v4.pdb
Q8IZC6 AF-Q8IZC6-F1-model_v4.pdb
Q8IZD2 AF-Q8IZD2-F1-model_v4.pdb
Q8IZD4 AF-Q8IZD4-F1-model_v4.pdb
Q8IYK8 AF-Q8IYK8-F1-model_v4.pdb
Q8IYL2 AF-Q8IYL2-F1-model_v4.pdb
Q8IYM0 AF-Q8IYM0-F1-model_v4.pdb
Q8IYM1 AF-Q8IYM1-F1-model_v4.pdb
Q8IYM9 AF-Q8IYM9-F1-model_v4.pdb
Q8IYT4 AF-Q8IYT4-F1-model_v4.pdb
Q8IYU2 AF-Q8IYU2-F1-model_v4.pdb
Q8IYU4 AF-Q8IYU4-F1-model_v4.pdb
Q8IYW2 AF-Q8IYW2-F1-model_v4.pdb
Q8IWK6 AF-Q8IWK6-F1-model_v4.pdb
Q8IWL2 AF-Q8IWL2-F1-model_v4.pdb
Q8IWN7 AF-Q8IWN7-F1-model_v4.pdb
Q8IWQ3 AF-Q8IWQ3-F1-model_v4.pdb
Q8IWS0 AF-Q8IWS0-F1-model_v4.pdb
