INFO:2025-10-30 14:27:03,975:Starting HSC computation pipeline...
INFO:2025-10-30 14:28:07,444:Processing A0A6Q8PGS0 with model AF-A0A6Q8PGS0-F1-model_v4.pdb
ERROR:2025-10-30 14:28:07,461:No transcript record found for A0A6Q8PGS0 in gnomAD.
INFO:2025-10-30 14:28:07,461:Processing A0A6Q8PGZ6 with model AF-A0A6Q8PGZ6-F1-model_v4.pdb
ERROR:2025-10-30 14:28:07,620:No ENST transcript IDs were mapped to A0A6Q8PGZ6
INFO:2025-10-30 14:28:07,620:Processing A0A6Q8PGZ7 with model AF-A0A6Q8PGZ7-F1-model_v4.pdb
ERROR:2025-10-30 14:28:07,653:No transcript record found for A0A6Q8PGZ7 in gnomAD.
INFO:2025-10-30 14:28:07,653:Processing A0A6Q8PHA8 with model AF-A0A6Q8PHA8-F1-model_v4.pdb
ERROR:2025-10-30 14:28:07,672:No transcript record found for A0A6Q8PHA8 in gnomAD.
INFO:2025-10-30 14:28:07,672:Processing A0A6Q8PHR7 with model AF-A0A6Q8PHR7-F1-model_v4.pdb
ERROR:2025-10-30 14:28:07,690:No transcript record found for A0A6Q8PHR7 in gnomAD.
INFO:2025-10-30 14:28:07,690:Pipeline completed.
INFO:2025-10-30 14:28:07,690:no_enst_for_uniprot: 10
INFO:2025-10-30 14:28:07,690:no_valid_cds: 17
INFO:2025-10-30 14:28:07,690:no_variant_data: 23
INFO:2025-10-30 14:28:07,690:bad_structure: 0
INFO:2025-10-30 14:28:07,690:no_enst_mp: 0
